"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 16-Vaishali PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  262105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kanti(95)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Raghuvans h Prasad Singh"	"Rama Kishore Singh"	"Vijay Kumar Sahni"	"Shankar Mahto"	"Indradeo Roy"	"Jaynaraya n Sah"	"Md.
Naushad"	"Parmeshw ar Ram"	"Mukesh Ram"	"Raaj Mangal Prasad"	"Vinod Pandit"	"Md. Hasib"	"Anu Shukla"	"Jitendra Prasad"	"Balendra Singh"	"Dr.
Mohamma d Nabi Hassan"	"Mohamma d Umar Ansari"	"Ranjeet Kumar Jha"	"Ram Pukar Rai"	"Rameshwa r Sah"	"Lalji Kumar Rakesh"	"Sandhya Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"63"	"112"	"124"	"1"	"1"	"2"	"8"	"2"	"3"	"0"	"3"	"6"	"163"	"4"	"2"	"2"	"4"	"1"	"2"	"5"	"2"	"0"	"510"	"0"	"1"	"511"	"0"
"14"	"2"	"76"	"200"	"67"	"68"	"1"	"1"	"3"	"3"	"4"	"5"	"13"	"23"	"217"	"14"	"12"	"18"	"6"	"11"	"6"	"3"	"4"	"3"	"758"	"0"	"7"	"765"	"0"
"15"	"3"	"66"	"263"	"97"	"3"	"2"	"3"	"1"	"6"	"3"	"6"	"6"	"16"	"46"	"20"	"25"	"29"	"4"	"8"	"5"	"1"	"2"	"6"	"618"	"0"	"1"	"619"	"0"
"16"	"4"	"72"	"28"	"232"	"2"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"5"	"9"	"13"	"3"	"6"	"5"	"3"	"8"	"6"	"4"	"1"	"402"	"0"	"3"	"405"	"0"
