"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 23-Samastipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  281303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Rosera(139)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dr Ashok Kumar"	"Maheshwar Hazari"	"Ram Chandra Ram"	"Ram Chandra Paswan"	"Amit Kumar"	"Ashok Paswan"	"Ganesh Kumar"	"Lal Bahadur Sada"	"Baleshwar Paswan"	"Vijay Kumar Ram"	"Shatrudhan Kumar Paswan"	"Mithilesh Kumar Rajak"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"145"	"87"	"5"	"218"	"10"	"4"	"9"	"9"	"12"	"12"	"9"	"13"	"533"	"0"	"33"	"566"	"0"
"14"	"2"	"343"	"37"	"5"	"149"	"5"	"7"	"3"	"3"	"16"	"22"	"16"	"17"	"623"	"0"	"37"	"660"	"0"
"15"	"3"	"375"	"259"	"9"	"73"	"7"	"4"	"8"	"5"	"10"	"13"	"17"	"16"	"796"	"0"	"31"	"827"	"0"
"16"	"3A"	"182"	"77"	"2"	"46"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"1"	"315"	"0"	"8"	"323"	"0"
"17"	"4"	"193"	"361"	"11"	"161"	"5"	"3"	"4"	"4"	"10"	"9"	"9"	"9"	"779"	"0"	"34"	"813"	"0"
"18"	"5"	"150"	"263"	"6"	"106"	"4"	"1"	"9"	"4"	"9"	"11"	"11"	"7"	"581"	"0"	"24"	"605"	"0"
"19"	"6"	"105"	"129"	"16"	"320"	"2"	"13"	"5"	"5"	"18"	"10"	"19"	"9"	"651"	"0"	"16"	"667"	"0"
"20"	"7"	"91"	"187"	"12"	"352"	"10"	"7"	"5"	"9"	"11"	"11"	"8"	"12"	"715"	"0"	"25"	"740"	"0"
"21"	"8"	"207"	"277"	"12"	"253"	"9"	"5"	"16"	"2"	"22"	"23"	"27"	"23"	"876"	"0"	"44"	"920"	"0"
"22"	"9"	"49"	"266"	"5"	"177"	"8"	"1"	"6"	"4"	"8"	"14"	"3"	"9"	"550"	"0"	"13"	"563"	"0"
"23"	"10"	"60"	"230"	"6"	"252"	"8"	"6"	"11"	"7"	"20"	"18"	"20"	"12"	"650"	"0"	"31"	"681"	"0"
"24"	"11"	"25"	"312"	"2"	"29"	"0"	"0"	"4"	"2"	"2"	"2"	"6"	"3"	"387"	"0"	"11"	"398"	"0"
