"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 38-Gaya PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  260410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Wazirganj(234)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jitan Ram Manjhi"	"Ramji Manjhi"	"Shiv Kumar Kant"	"Hari Manjhi"	"Ashok Kumar"	"Indradeo Choudhary"	"Kapil Choudhary"	"Dhananjay Kishor"	"Niranjan Kumar"	"Bhuneshwar Das"	"Mamta Kumari"	"Shiv Shankar Kumar"	"Dr. Dev Kumar Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"50"	"24"	"7"	"320"	"23"	"2"	"7"	"3"	"6"	"4"	"3"	"3"	"101"	"553"	"0"	"9"	"562"	"0"
"14"	"2"	"33"	"1"	"1"	"162"	"5"	"1"	"4"	"0"	"0"	"2"	"1"	"0"	"19"	"229"	"0"	"5"	"234"	"0"
"15"	"3"	"62"	"65"	"7"	"361"	"29"	"0"	"7"	"12"	"2"	"10"	"11"	"4"	"17"	"587"	"0"	"17"	"604"	"0"
"16"	"4"	"60"	"63"	"7"	"475"	"38"	"1"	"9"	"6"	"6"	"6"	"8"	"8"	"83"	"770"	"0"	"8"	"778"	"0"
"17"	"5"	"29"	"86"	"5"	"501"	"26"	"4"	"6"	"8"	"8"	"5"	"8"	"5"	"74"	"765"	"0"	"20"	"785"	"0"
"18"	"6"	"24"	"6"	"4"	"256"	"18"	"1"	"6"	"2"	"1"	"3"	"0"	"1"	"35"	"357"	"0"	"3"	"360"	"0"
"19"	"7"	"19"	"66"	"8"	"497"	"16"	"3"	"4"	"1"	"3"	"1"	"5"	"2"	"68"	"693"	"0"	"13"	"706"	"0"
"20"	"8"	"11"	"145"	"5"	"113"	"12"	"4"	"4"	"4"	"43"	"3"	"3"	"3"	"11"	"361"	"0"	"18"	"379"	"0"
"21"	"9"	"46"	"116"	"16"	"431"	"36"	"2"	"14"	"6"	"26"	"4"	"1"	"11"	"113"	"822"	"0"	"11"	"833"	"0"
"22"	"10"	"31"	"302"	"3"	"160"	"25"	"0"	"9"	"2"	"4"	"8"	"5"	"4"	"91"	"644"	"0"	"19"	"663"	"0"
"23"	"11"	"184"	"131"	"5"	"280"	"44"	"5"	"5"	"2"	"2"	"10"	"5"	"5"	"33"	"711"	"0"	"17"	"728"	"0"
