"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 3-Purbi Champaran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  271783"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Motihari(19)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Avaneesh Kumar Singh"	"Binod Kumar Shrivastva"	"Radha Mohan Singh"	"Suresh Paswan"	"Anil Kumar Singh"	"Amit Kumar Choubey"	"Md. Nasiruddin"	"Pawan Kumar"	"Paras Nath Pandey"	"Moqim Ansari"	"Raghunath Gupta"	"Shatrughan Tiwari"	"Dilip Singh"	"Pramod Kumar Pandey"	"Shambhu Das"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"51"	"295"	"186"	"2"	"3"	"3"	"0"	"1"	"1"	"0"	"2"	"8"	"7"	"12"	"7"	"578"	"0"	"12"	"590"	"0"
"14"	"2"	"20"	"259"	"37"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"3"	"329"	"0"	"4"	"333"	"0"
"15"	"3"	"73"	"25"	"643"	"7"	"1"	"3"	"0"	"1"	"2"	"2"	"1"	"3"	"1"	"3"	"2"	"767"	"0"	"3"	"770"	"0"
"16"	"4"	"98"	"33"	"585"	"13"	"1"	"2"	"2"	"1"	"3"	"2"	"2"	"6"	"10"	"9"	"5"	"772"	"0"	"16"	"788"	"0"
"17"	"5"	"265"	"63"	"487"	"9"	"3"	"3"	"5"	"1"	"2"	"2"	"4"	"5"	"16"	"5"	"6"	"876"	"0"	"7"	"883"	"0"
"18"	"6"	"30"	"398"	"451"	"8"	"5"	"3"	"0"	"4"	"1"	"2"	"0"	"3"	"3"	"6"	"1"	"915"	"0"	"6"	"921"	"0"
"19"	"7"	"19"	"403"	"169"	"39"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"637"	"0"	"4"	"641"	"0"
"20"	"8"	"51"	"57"	"239"	"14"	"1"	"4"	"0"	"0"	"0"	"3"	"0"	"4"	"5"	"4"	"6"	"388"	"0"	"14"	"402"	"0"
"21"	"9"	"84"	"349"	"273"	"4"	"0"	"0"	"0"	"4"	"8"	"2"	"1"	"2"	"1"	"1"	"2"	"731"	"0"	"2"	"733"	"0"
