"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  245912"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Harlakhi(31)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"165"	"36"	"8"	"313"	"11"	"9"	"2"	"3"	"3"	"4"	"3"	"557"	"0"	"9"	"566"	"0"
"14"	"1A"	"119"	"9"	"7"	"225"	"3"	"5"	"3"	"5"	"0"	"0"	"1"	"377"	"0"	"2"	"379"	"0"
"15"	"2"	"377"	"24"	"12"	"478"	"14"	"18"	"6"	"5"	"5"	"4"	"1"	"944"	"0"	"12"	"956"	"0"
"16"	"3"	"120"	"44"	"11"	"436"	"10"	"17"	"7"	"12"	"12"	"13"	"8"	"690"	"0"	"15"	"705"	"0"
"17"	"4"	"456"	"41"	"11"	"257"	"7"	"8"	"5"	"5"	"8"	"5"	"5"	"808"	"0"	"26"	"834"	"0"
"18"	"5"	"227"	"17"	"7"	"153"	"3"	"7"	"7"	"19"	"6"	"5"	"2"	"453"	"0"	"20"	"473"	"0"
"19"	"6"	"295"	"19"	"3"	"292"	"17"	"15"	"10"	"8"	"17"	"15"	"16"	"707"	"0"	"63"	"770"	"0"
"20"	"7"	"269"	"21"	"6"	"299"	"9"	"11"	"3"	"8"	"8"	"8"	"7"	"649"	"0"	"14"	"663"	"0"
"21"	"8"	"389"	"28"	"11"	"337"	"6"	"7"	"2"	"4"	"7"	"2"	"6"	"799"	"0"	"10"	"809"	"0"
"22"	"9"	"191"	"44"	"37"	"575"	"14"	"61"	"14"	"16"	"23"	"11"	"12"	"998"	"0"	"20"	"1018"	"0"
"23"	"10"	"48"	"53"	"3"	"192"	"10"	"47"	"2"	"5"	"2"	"3"	"3"	"368"	"0"	"8"	"376"	"0"
"24"	"11"	"141"	"130"	"30"	"216"	"6"	"99"	"12"	"12"	"1"	"4"	"3"	"654"	"0"	"5"	"659"	"0"
"25"	"12"	"120"	"76"	"6"	"209"	"6"	"38"	"6"	"1"	"4"	"3"	"10"	"479"	"0"	"11"	"490"	"0"
