"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  280994"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Dhamdaha(61)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"94"	"288"	"5"	"128"	"5"	"0"	"0"	"3"	"4"	"16"	"3"	"3"	"7"	"0"	"9"	"16"	"4"	"585"	"0"	"8"	"593"	"0"
"14"	"1A"	"133"	"60"	"2"	"196"	"2"	"2"	"1"	"1"	"1"	"15"	"3"	"1"	"2"	"3"	"2"	"9"	"7"	"440"	"0"	"10"	"450"	"0"
"15"	"2"	"219"	"213"	"9"	"157"	"1"	"3"	"3"	"3"	"0"	"30"	"8"	"6"	"9"	"7"	"11"	"23"	"41"	"743"	"0"	"31"	"774"	"0"
"16"	"3"	"202"	"201"	"5"	"266"	"3"	"1"	"1"	"1"	"4"	"29"	"1"	"5"	"8"	"4"	"4"	"5"	"0"	"740"	"0"	"2"	"742"	"0"
"17"	"4"	"115"	"131"	"9"	"278"	"10"	"3"	"5"	"3"	"2"	"42"	"3"	"7"	"15"	"5"	"6"	"21"	"13"	"668"	"0"	"12"	"680"	"0"
"18"	"5"	"62"	"155"	"11"	"291"	"1"	"4"	"2"	"0"	"0"	"22"	"3"	"5"	"13"	"2"	"4"	"11"	"4"	"590"	"0"	"6"	"596"	"0"
"19"	"6"	"472"	"53"	"5"	"89"	"0"	"1"	"0"	"1"	"0"	"10"	"0"	"2"	"1"	"2"	"5"	"17"	"37"	"695"	"0"	"9"	"704"	"0"
