"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 36-Jehanabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kurtha(215)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Anil Kumar Sharma"	"Ravindra Singh"	"Surendra Prasad Yadav"	"Dr. Arun Kumar"	"Md. Istiyak"	"Chandra Bhushan Sharma"	"Narendra Kumar"	"Parshuram Vind"	"Manju Devi"	"Ramadhar Singh"	"Rahul Ranjan"	"Arjun Thakur"	"Nityanand Singh"	"Manjay Kumar"	"Suday Yadav"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"40"	"6"	"74"	"297"	"10"	"3"	"1"	"2"	"1"	"5"	"1"	"5"	"2"	"4"	"1"	"452"	"0"	"5"	"457"	"0"
"14"	"2"	"70"	"3"	"77"	"43"	"3"	"2"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"1"	"2"	"210"	"0"	"6"	"216"	"0"
"15"	"3"	"94"	"1"	"189"	"33"	"4"	"4"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"2"	"0"	"334"	"0"	"5"	"339"	"0"
"16"	"4"	"30"	"5"	"223"	"114"	"4"	"5"	"1"	"1"	"0"	"7"	"2"	"2"	"7"	"3"	"2"	"406"	"0"	"2"	"408"	"0"
"17"	"5"	"77"	"3"	"227"	"155"	"7"	"4"	"2"	"1"	"2"	"13"	"3"	"10"	"53"	"6"	"6"	"569"	"0"	"8"	"577"	"0"
"18"	"6"	"12"	"3"	"108"	"716"	"2"	"8"	"0"	"1"	"2"	"2"	"2"	"0"	"1"	"0"	"2"	"859"	"0"	"3"	"862"	"0"
"19"	"7"	"237"	"3"	"24"	"54"	"2"	"0"	"0"	"0"	"1"	"4"	"1"	"5"	"0"	"2"	"15"	"348"	"0"	"11"	"359"	"0"
"20"	"8"	"63"	"23"	"94"	"140"	"2"	"3"	"1"	"1"	"1"	"1"	"1"	"8"	"6"	"5"	"5"	"354"	"0"	"8"	"362"	"0"
"21"	"9"	"10"	"3"	"451"	"105"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"4"	"0"	"581"	"0"	"1"	"582"	"0"
