"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 7-Jhanjharpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  266699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Babubarhi(34)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Devendra Prasad Yadav"	"Mangani Lal Mandal"	"Manilal Sahu"	"Birendra Kumar Chaudhary"	"Md.Akhtar Ali"	"Tiliya Devi"	"Md. Faiyaz Khan"	"Vighnesh Bhagat"	"Bipin Kumar Jha"	"Haidar"	"Awdhesh Kumar Shingh"	"Ibrahim Abbasi"	"Chandra Mohan Jha"	"Chhedi Ram"	"Janak Roy"	"Pawan Kumar"	"Barun Kumar Jha"	"Ram Chandra Safi"	"Dr. Binay Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"32"	"98"	"5"	"112"	"5"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"3"	"7"	"0"	"5"	"0"	"0"	"2"	"278"	"0"	"2"	"280"	"0"
"14"	"2"	"86"	"174"	"12"	"298"	"10"	"9"	"4"	"3"	"5"	"8"	"3"	"4"	"4"	"5"	"5"	"9"	"2"	"3"	"4"	"648"	"0"	"6"	"654"	"0"
"15"	"3"	"109"	"223"	"32"	"416"	"10"	"7"	"4"	"7"	"11"	"13"	"6"	"5"	"16"	"20"	"13"	"23"	"7"	"5"	"8"	"935"	"0"	"9"	"944"	"0"
"16"	"4"	"113"	"220"	"14"	"94"	"5"	"4"	"2"	"8"	"7"	"4"	"2"	"3"	"3"	"5"	"3"	"5"	"9"	"1"	"4"	"506"	"0"	"1"	"507"	"0"
"17"	"4A"	"79"	"180"	"8"	"160"	"10"	"1"	"0"	"2"	"2"	"1"	"0"	"4"	"2"	"4"	"7"	"13"	"5"	"4"	"2"	"484"	"0"	"3"	"487"	"0"
