"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 34-Sasaram PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  285579"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kargahar(209)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Karra Parasu Ramaiah"	"Chhedi Paswan"	"Baleshwar Bharti"	"Meira Kumar"	"Geeta Arya"	"Tetri Devi"	"Saroj Ram"	"Nand Lal Ram"	"Ravikant Chaudhary"	"Rajnarain Rao"	"Surendra Ram"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"20"	"166"	"5"	"287"	"15"	"3"	"1"	"4"	"7"	"9"	"7"	"524"	"0"	"19"	"543"	"0"
"14"	"2"	"4"	"314"	"9"	"258"	"14"	"4"	"2"	"2"	"4"	"1"	"5"	"617"	"0"	"8"	"625"	"0"
"15"	"3"	"29"	"556"	"4"	"133"	"5"	"1"	"1"	"1"	"1"	"1"	"3"	"735"	"0"	"6"	"741"	"0"
"16"	"4"	"123"	"167"	"27"	"247"	"13"	"4"	"1"	"5"	"6"	"2"	"5"	"600"	"0"	"14"	"614"	"0"
"17"	"5"	"172"	"133"	"8"	"268"	"19"	"5"	"3"	"7"	"12"	"2"	"8"	"637"	"0"	"25"	"662"	"0"
"18"	"6"	"21"	"129"	"0"	"142"	"2"	"3"	"0"	"1"	"0"	"2"	"5"	"305"	"0"	"7"	"312"	"0"
"19"	"7"	"108"	"39"	"9"	"139"	"8"	"11"	"1"	"3"	"5"	"2"	"1"	"326"	"0"	"4"	"330"	"0"
"20"	"8"	"46"	"220"	"21"	"280"	"11"	"4"	"0"	"3"	"4"	"5"	"6"	"600"	"0"	"22"	"622"	"0"
"21"	"9"	"26"	"324"	"37"	"214"	"7"	"7"	"3"	"2"	"8"	"4"	"13"	"645"	"0"	"30"	"675"	"0"
"22"	"10"	"28"	"198"	"7"	"196"	"15"	"5"	"4"	"1"	"6"	"6"	"8"	"474"	"0"	"17"	"491"	"0"
"23"	"11"	"7"	"39"	"3"	"383"	"16"	"1"	"0"	"0"	"2"	"2"	"1"	"454"	"0"	"2"	"456"	"0"
"24"	"12"	"53"	"93"	"3"	"361"	"16"	"0"	"0"	"0"	"0"	"4"	"4"	"534"	"0"	"7"	"541"	"0"
"25"	"13"	"83"	"181"	"11"	"419"	"105"	"3"	"1"	"4"	"2"	"2"	"6"	"817"	"0"	"24"	"841"	"0"
