"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 28-Munger PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  303136"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Munger(165)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kamleshwari Mandal"	"Pragati Mehta"	"Rajiv Ranjan Singh alias Lalan Singh"	"Veena Devi"	"Ashok Kumar Singh"	"Pramod Kumar"	"Ram Badan Rai"	"Shankar Prasad"	"Sandeep"	"Suryoday Paswan"	"Uchit Kumar"	"Muzaffar Fakhruddin"	"Sharwan Kumar Anand"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"2"	"85"	"13"	"83"	"10"	"1"	"1"	"1"	"0"	"1"	"4"	"4"	"2"	"207"	"0"	"6"	"213"	"0"
"14"	"2"	"8"	"24"	"83"	"451"	"24"	"6"	"4"	"132"	"2"	"6"	"12"	"10"	"5"	"767"	"0"	"7"	"774"	"0"
"15"	"3"	"8"	"165"	"20"	"165"	"17"	"5"	"4"	"0"	"3"	"10"	"8"	"13"	"9"	"427"	"0"	"17"	"444"	"0"
"16"	"4"	"17"	"152"	"84"	"179"	"44"	"7"	"5"	"4"	"8"	"3"	"8"	"11"	"9"	"531"	"0"	"14"	"545"	"0"
"17"	"5"	"16"	"67"	"110"	"143"	"19"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"362"	"0"	"3"	"365"	"0"
"18"	"6"	"3"	"105"	"16"	"262"	"12"	"2"	"1"	"2"	"0"	"7"	"7"	"5"	"7"	"429"	"0"	"5"	"434"	"0"
"19"	"7"	"9"	"54"	"196"	"159"	"26"	"3"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"452"	"0"	"3"	"455"	"0"
"20"	"8"	"5"	"643"	"11"	"7"	"4"	"1"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"680"	"0"	"1"	"681"	"0"
"21"	"8A"	"4"	"288"	"33"	"56"	"11"	"3"	"1"	"1"	"7"	"3"	"2"	"3"	"7"	"419"	"0"	"11"	"430"	"0"
"22"	"9"	"3"	"7"	"59"	"28"	"48"	"3"	"1"	"0"	"1"	"0"	"2"	"0"	"5"	"157"	"0"	"0"	"157"	"0"
"23"	"10"	"3"	"37"	"115"	"10"	"33"	"0"	"3"	"0"	"0"	"1"	"2"	"2"	"3"	"209"	"0"	"3"	"212"	"0"
