"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  277722"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Belhar(163)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"141"	"181"	"6"	"3"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"2"	"8"	"6"	"4"	"358"	"0"	"7"	"365"	"0"
"14"	"2"	"81"	"171"	"23"	"2"	"1"	"0"	"2"	"0"	"3"	"2"	"2"	"6"	"4"	"6"	"12"	"15"	"8"	"338"	"0"	"18"	"356"	"0"
"15"	"3"	"212"	"182"	"144"	"1"	"3"	"2"	"4"	"4"	"2"	"1"	"3"	"3"	"4"	"7"	"5"	"11"	"2"	"590"	"0"	"3"	"593"	"0"
"16"	"4"	"53"	"54"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"118"	"0"	"1"	"119"	"0"
"17"	"5"	"122"	"196"	"119"	"5"	"1"	"0"	"3"	"1"	"3"	"2"	"4"	"6"	"6"	"16"	"13"	"18"	"3"	"518"	"0"	"2"	"520"	"0"
"18"	"6"	"229"	"164"	"77"	"0"	"5"	"0"	"1"	"0"	"0"	"2"	"5"	"1"	"1"	"13"	"8"	"8"	"4"	"518"	"0"	"1"	"519"	"0"
"19"	"7"	"284"	"114"	"63"	"8"	"5"	"3"	"2"	"0"	"2"	"2"	"7"	"3"	"4"	"12"	"11"	"41"	"17"	"578"	"0"	"12"	"590"	"0"
