"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 13-Madhepura PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  275104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bihariganj(71)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Guljar Kumar"	"Rajesh Ranjan @ Pappu Yadav"	"Vijay Kumar Singh"	"Sharad Yadav"	"Anwar Alam"	"Chandrashekhar Yadav"	"Bhikha Paswan"	"Mohammad Arshad Hussain"	"Sajan Kumar Jha"	"Prasanna Kumar"	"Mina Devi"	"Rajo Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"21"	"275"	"25"	"439"	"11"	"2"	"3"	"5"	"7"	"1"	"6"	"4"	"799"	"0"	"6"	"805"	"0"
"14"	"2"	"10"	"86"	"162"	"257"	"9"	"5"	"6"	"9"	"0"	"0"	"2"	"2"	"548"	"0"	"3"	"551"	"0"
"15"	"2A"	"9"	"126"	"123"	"214"	"6"	"0"	"6"	"4"	"2"	"2"	"4"	"6"	"502"	"0"	"2"	"504"	"0"
"16"	"3"	"30"	"454"	"90"	"367"	"10"	"4"	"7"	"11"	"4"	"4"	"2"	"4"	"987"	"0"	"3"	"990"	"0"
"17"	"4"	"4"	"143"	"144"	"269"	"3"	"0"	"2"	"5"	"1"	"3"	"2"	"5"	"581"	"0"	"12"	"593"	"0"
"18"	"5"	"6"	"203"	"175"	"274"	"7"	"3"	"3"	"4"	"2"	"5"	"5"	"9"	"696"	"0"	"21"	"717"	"0"
"19"	"6"	"7"	"90"	"41"	"274"	"4"	"2"	"1"	"3"	"6"	"2"	"3"	"3"	"436"	"0"	"27"	"463"	"0"
"20"	"7"	"12"	"160"	"39"	"372"	"15"	"11"	"5"	"15"	"5"	"5"	"7"	"13"	"659"	"0"	"44"	"703"	"0"
"21"	"8"	"12"	"194"	"67"	"316"	"10"	"0"	"2"	"7"	"7"	"3"	"8"	"10"	"636"	"0"	"20"	"656"	"0"
"22"	"9"	"11"	"359"	"49"	"171"	"1"	"1"	"1"	"1"	"0"	"1"	"3"	"8"	"606"	"0"	"24"	"630"	"0"
"23"	"10"	"16"	"404"	"86"	"110"	"2"	"0"	"2"	"1"	"1"	"0"	"2"	"5"	"629"	"0"	"2"	"631"	"0"
"24"	"11"	"7"	"426"	"111"	"122"	"0"	"0"	"1"	"6"	"1"	"1"	"0"	"2"	"677"	"0"	"6"	"683"	"0"
