"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 5-Sitamarhi PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  273465"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sursand(26)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Arjun Rai"	"Mahesh Kumar"	"Sitaram Yadav"	"Kishori Das"	"Jay Kumar Chaudhary"	"Bharat Bhushan Sahni"	"Mahendra Prasad"	"Rajeev Ranjan"	"Ram Kumar Sharma"	"Satyendra Bhandari"	"Surendra Kumar"	"Syed Abu Dojana"	"Ajay Kumar"	"Chandrika Prasad"	"Narendra Mishra"	"Mahesh Nandan Singh"	"Mohammad Faiyaz Ahmad"	"Vinod Sah"	"Sone Lal Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"96"	"4"	"267"	"4"	"2"	"1"	"1"	"10"	"262"	"5"	"2"	"1"	"2"	"15"	"5"	"22"	"6"	"2"	"3"	"710"	"0"	"3"	"713"	"0"
"14"	"2"	"30"	"1"	"220"	"5"	"1"	"0"	"0"	"5"	"222"	"4"	"2"	"2"	"3"	"5"	"8"	"20"	"5"	"6"	"3"	"542"	"0"	"3"	"545"	"0"
"15"	"3"	"21"	"10"	"728"	"25"	"6"	"1"	"3"	"2"	"10"	"1"	"2"	"2"	"4"	"12"	"4"	"10"	"2"	"5"	"16"	"864"	"0"	"6"	"870"	"0"
"16"	"4"	"22"	"9"	"639"	"23"	"2"	"5"	"1"	"5"	"60"	"4"	"1"	"3"	"5"	"27"	"10"	"19"	"1"	"5"	"7"	"848"	"0"	"5"	"853"	"0"
"17"	"5"	"11"	"5"	"185"	"1"	"1"	"2"	"1"	"1"	"64"	"3"	"1"	"2"	"3"	"2"	"2"	"2"	"1"	"0"	"1"	"288"	"0"	"2"	"290"	"0"
"18"	"6"	"8"	"36"	"624"	"9"	"2"	"3"	"1"	"1"	"14"	"2"	"0"	"0"	"2"	"4"	"0"	"3"	"1"	"2"	"5"	"717"	"0"	"4"	"721"	"0"
