"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 34-Sasaram PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  274933"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chainpur(206)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Karra Parasu Ramaiah"	"Chhedi Paswan"	"Baleshwar Bharti"	"Meira Kumar"	"Geeta Arya"	"Tetri Devi"	"Saroj Ram"	"Nand Lal Ram"	"Ravikant Chaudhary"	"Rajnarain Rao"	"Surendra Ram"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"15"	"689"	"11"	"21"	"3"	"3"	"5"	"2"	"2"	"5"	"10"	"766"	"0"	"16"	"782"	"0"
"14"	"2"	"9"	"74"	"294"	"17"	"1"	"3"	"0"	"0"	"0"	"4"	"3"	"405"	"0"	"7"	"412"	"0"
"15"	"3"	"50"	"308"	"143"	"158"	"4"	"6"	"2"	"1"	"1"	"1"	"3"	"677"	"0"	"2"	"679"	"0"
"16"	"4"	"16"	"319"	"46"	"105"	"2"	"1"	"3"	"0"	"0"	"1"	"3"	"496"	"0"	"5"	"501"	"0"
"17"	"5"	"29"	"301"	"79"	"34"	"2"	"4"	"1"	"3"	"0"	"4"	"4"	"461"	"0"	"5"	"466"	"0"
"18"	"6"	"124"	"196"	"6"	"94"	"9"	"3"	"2"	"1"	"5"	"10"	"3"	"453"	"0"	"18"	"471"	"0"
"19"	"7"	"25"	"684"	"67"	"147"	"7"	"3"	"2"	"3"	"2"	"2"	"6"	"948"	"0"	"3"	"951"	"0"
"20"	"8"	"18"	"279"	"69"	"250"	"8"	"0"	"2"	"2"	"3"	"2"	"13"	"646"	"0"	"6"	"652"	"0"
"21"	"9"	"7"	"188"	"72"	"55"	"2"	"0"	"1"	"1"	"4"	"2"	"5"	"337"	"0"	"4"	"341"	"0"
"22"	"10"	"16"	"123"	"24"	"215"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"384"	"0"	"9"	"393"	"0"
"23"	"11"	"18"	"434"	"51"	"166"	"12"	"5"	"0"	"2"	"4"	"0"	"5"	"697"	"0"	"8"	"705"	"0"
"24"	"12"	"96"	"210"	"75"	"118"	"5"	"1"	"1"	"1"	"1"	"3"	"3"	"514"	"0"	"8"	"522"	"0"
"25"	"13"	"55"	"97"	"9"	"166"	"5"	"4"	"2"	"2"	"0"	"3"	"0"	"343"	"0"	"5"	"348"	"0"
