"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 9-Araria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  290059"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Forbesganj(48)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"ABDUL RAHMAN"	"TASLEEM UDDIN"	"PRADEEP KUMAR SINGH"	"VIJAY KUMAR MANDAL"	"MD. ASLAM BEG"	"CHANDRA BHUSHAN"	"RAJESH KUMAR"	"RAMANAND RISHIDEO"	"BIDAYANAND PASWAN"	"SANJAY KUMAR RISHIDEV"	"SAR WAT JAHRE ANSARI"	"ALAMDAR HUSSAIN"	"PANKAJ KISHOR MANDAL"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"15"	"424"	"174"	"124"	"2"	"4"	"3"	"4"	"1"	"10"	"2"	"8"	"3"	"774"	"0"	"5"	"779"	"0"
"14"	"2"	"8"	"450"	"51"	"50"	"1"	"2"	"1"	"3"	"1"	"1"	"2"	"2"	"2"	"574"	"0"	"5"	"579"	"0"
"15"	"3"	"13"	"225"	"380"	"140"	"2"	"4"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"773"	"0"	"9"	"782"	"0"
"16"	"4"	"3"	"142"	"301"	"116"	"0"	"4"	"5"	"5"	"3"	"5"	"8"	"8"	"7"	"607"	"0"	"13"	"620"	"0"
"17"	"5"	"11"	"365"	"411"	"128"	"2"	"10"	"9"	"6"	"1"	"9"	"5"	"8"	"20"	"985"	"0"	"16"	"1001"	"0"
"18"	"6"	"6"	"188"	"298"	"43"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"3"	"2"	"545"	"0"	"4"	"549"	"0"
"19"	"7"	"15"	"352"	"83"	"55"	"4"	"4"	"3"	"1"	"6"	"2"	"8"	"5"	"13"	"551"	"0"	"12"	"563"	"0"
"20"	"8"	"8"	"279"	"198"	"82"	"1"	"2"	"6"	"5"	"3"	"4"	"5"	"7"	"16"	"616"	"0"	"8"	"624"	"0"
"21"	"9"	"7"	"83"	"476"	"157"	"6"	"9"	"1"	"8"	"4"	"4"	"10"	"9"	"13"	"787"	"0"	"13"	"800"	"0"
"22"	"10"	"3"	"36"	"395"	"90"	"2"	"2"	"4"	"2"	"0"	"2"	"3"	"1"	"0"	"540"	"0"	"1"	"541"	"0"
