"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 35-Karakat PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Nabingar(221)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kanti Singh"	"Mahabali Singh"	"Sanjay Kewat"	"Upendra Kushwaha"	"Ghulam Kundanam"	"Dinesh Kumar"	"Pradeep Kumar Joshi"	"Rajni Dubey"	"Raja Ram Singh"	"Veena Bharti"	"Imran Ali"	"Md. Diwas Ansari"	"Bhairaw Dayal Singh"	"Ram Dayal Singh"	"Satya Narayan Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"327"	"18"	"101"	"19"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"4"	"19"	"491"	"0"	"5"	"496"	"0"
"14"	"2"	"31"	"54"	"11"	"435"	"3"	"1"	"3"	"6"	"136"	"4"	"0"	"2"	"0"	"3"	"7"	"696"	"0"	"1"	"697"	"0"
"15"	"3"	"187"	"36"	"10"	"64"	"2"	"1"	"2"	"1"	"14"	"0"	"0"	"0"	"1"	"0"	"2"	"320"	"0"	"1"	"321"	"0"
"16"	"4"	"258"	"8"	"50"	"209"	"2"	"1"	"2"	"3"	"5"	"0"	"2"	"0"	"1"	"4"	"15"	"560"	"0"	"3"	"563"	"0"
"17"	"5"	"56"	"39"	"99"	"156"	"6"	"1"	"1"	"10"	"3"	"0"	"0"	"1"	"2"	"0"	"2"	"376"	"0"	"0"	"376"	"0"
"18"	"6"	"19"	"38"	"23"	"313"	"5"	"1"	"2"	"2"	"6"	"2"	"4"	"1"	"1"	"0"	"2"	"419"	"0"	"2"	"421"	"0"
"19"	"7"	"47"	"215"	"77"	"86"	"4"	"3"	"4"	"4"	"116"	"1"	"0"	"0"	"1"	"0"	"6"	"564"	"0"	"0"	"564"	"0"
"20"	"8"	"68"	"63"	"8"	"153"	"0"	"0"	"1"	"0"	"87"	"0"	"1"	"1"	"4"	"0"	"1"	"387"	"0"	"4"	"391"	"0"
"21"	"9"	"475"	"16"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"499"	"0"	"2"	"501"	"0"
