"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  241607"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Alinagar(81)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"14"	"2"	"52"	"80"	"2"	"129"	"2"	"16"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"289"	"0"	"0"	"289"	"0"
"15"	"3"	"111"	"311"	"10"	"92"	"7"	"25"	"2"	"3"	"2"	"4"	"1"	"6"	"6"	"1"	"10"	"591"	"0"	"14"	"605"	"0"
"16"	"4"	"90"	"72"	"2"	"368"	"5"	"52"	"8"	"9"	"2"	"3"	"8"	"9"	"40"	"8"	"13"	"689"	"0"	"11"	"700"	"0"
"17"	"5"	"279"	"40"	"5"	"174"	"12"	"25"	"4"	"9"	"4"	"1"	"3"	"2"	"16"	"4"	"15"	"593"	"0"	"18"	"611"	"0"
"18"	"6"	"86"	"171"	"6"	"27"	"6"	"22"	"5"	"4"	"1"	"0"	"1"	"4"	"6"	"5"	"10"	"354"	"0"	"22"	"376"	"0"
"19"	"7"	"266"	"42"	"3"	"28"	"3"	"14"	"2"	"5"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"374"	"0"	"6"	"380"	"0"
"20"	"8"	"32"	"74"	"0"	"19"	"2"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"5"	"143"	"0"	"5"	"148"	"0"
