"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 23-Samastipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  212159"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Hayaghat(84)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dr Ashok Kumar"	"Maheshwar Hazari"	"Ram Chandra Ram"	"Ram Chandra Paswan"	"Amit Kumar"	"Ashok Paswan"	"Ganesh Kumar"	"Lal Bahadur Sada"	"Baleshwar Paswan"	"Vijay Kumar Ram"	"Shatrudhan Kumar Paswan"	"Mithilesh Kumar Rajak"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"168"	"172"	"3"	"3"	"1"	"0"	"6"	"1"	"0"	"3"	"0"	"8"	"365"	"0"	"12"	"377"	"0"
"14"	"2"	"395"	"82"	"7"	"34"	"3"	"4"	"4"	"2"	"6"	"1"	"7"	"7"	"552"	"0"	"24"	"576"	"0"
"15"	"3"	"450"	"63"	"11"	"53"	"2"	"2"	"3"	"4"	"5"	"4"	"5"	"9"	"611"	"0"	"15"	"626"	"0"
"16"	"4"	"262"	"148"	"9"	"110"	"11"	"3"	"6"	"5"	"9"	"7"	"5"	"5"	"580"	"0"	"13"	"593"	"0"
"17"	"5"	"438"	"69"	"7"	"18"	"1"	"2"	"4"	"3"	"4"	"5"	"6"	"2"	"559"	"0"	"19"	"578"	"0"
"18"	"6"	"350"	"65"	"3"	"35"	"0"	"2"	"4"	"0"	"2"	"3"	"7"	"6"	"477"	"0"	"12"	"489"	"0"
"19"	"7"	"272"	"39"	"1"	"12"	"0"	"0"	"1"	"0"	"3"	"4"	"4"	"5"	"341"	"0"	"21"	"362"	"0"
"20"	"8"	"196"	"85"	"9"	"64"	"1"	"2"	"5"	"5"	"9"	"0"	"7"	"3"	"386"	"0"	"7"	"393"	"0"
"21"	"9"	"62"	"83"	"5"	"339"	"10"	"1"	"1"	"1"	"26"	"10"	"7"	"8"	"553"	"0"	"19"	"572"	"0"
"22"	"10"	"224"	"96"	"18"	"317"	"13"	"9"	"11"	"14"	"36"	"28"	"27"	"23"	"816"	"0"	"65"	"881"	"0"
"23"	"11"	"213"	"62"	"7"	"412"	"10"	"3"	"4"	"7"	"32"	"43"	"19"	"15"	"827"	"0"	"36"	"863"	"0"
"24"	"12"	"166"	"62"	"5"	"243"	"7"	"0"	"6"	"1"	"9"	"6"	"2"	"7"	"514"	"0"	"25"	"539"	"0"
