"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  219591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Gaura Bauram(79)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"348"	"161"	"11"	"34"	"4"	"11"	"4"	"7"	"2"	"3"	"1"	"4"	"5"	"10"	"13"	"618"	"0"	"19"	"637"	"0"
"14"	"2"	"98"	"285"	"11"	"25"	"5"	"9"	"1"	"1"	"2"	"1"	"0"	"2"	"0"	"1"	"2"	"443"	"0"	"3"	"446"	"0"
"15"	"3"	"100"	"382"	"3"	"56"	"2"	"21"	"1"	"0"	"1"	"2"	"0"	"1"	"3"	"4"	"16"	"592"	"0"	"12"	"604"	"0"
"16"	"4"	"326"	"284"	"10"	"94"	"7"	"31"	"1"	"4"	"2"	"2"	"5"	"3"	"10"	"2"	"20"	"801"	"0"	"15"	"816"	"0"
"17"	"5"	"374"	"101"	"5"	"79"	"4"	"29"	"4"	"1"	"4"	"2"	"2"	"3"	"8"	"6"	"35"	"657"	"0"	"49"	"706"	"0"
"18"	"6"	"247"	"319"	"7"	"64"	"4"	"7"	"1"	"6"	"0"	"1"	"5"	"1"	"2"	"3"	"1"	"668"	"0"	"11"	"679"	"0"
"19"	"7"	"228"	"303"	"3"	"51"	"3"	"10"	"5"	"8"	"5"	"4"	"4"	"0"	"4"	"7"	"25"	"660"	"0"	"12"	"672"	"0"
"20"	"8"	"152"	"276"	"13"	"98"	"31"	"51"	"6"	"12"	"7"	"9"	"6"	"18"	"9"	"16"	"37"	"741"	"0"	"30"	"771"	"0"
