"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 8-Supaul PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  273684"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Singheshwar(72)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Aman Kumar Samajsevi"	"Kameshwar Chaupal"	"Dileshwar Kamait"	"Ranjeet Ranjan"	"Jay Narayan Yadav"	"Dev Narayan Yadav"	"Parmeshwar Jha"	"Mohammad Amanullah"	"Shakaldev Mandal"	"Suresh Kumar Azad"	"Binod Kumar Sahu"	"Ramdev Sharma"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"22"	"272"	"133"	"14"	"4"	"3"	"5"	"11"	"6"	"2"	"6"	"8"	"486"	"0"	"9"	"495"	"0"
"14"	"2"	"21"	"143"	"230"	"73"	"1"	"1"	"6"	"3"	"2"	"5"	"3"	"4"	"492"	"0"	"1"	"493"	"0"
"15"	"3"	"8"	"97"	"457"	"73"	"5"	"2"	"4"	"3"	"4"	"5"	"11"	"2"	"671"	"0"	"17"	"688"	"0"
"16"	"4"	"9"	"79"	"226"	"136"	"10"	"1"	"9"	"1"	"5"	"4"	"8"	"3"	"491"	"0"	"17"	"508"	"0"
"17"	"5"	"19"	"266"	"263"	"48"	"1"	"1"	"7"	"1"	"1"	"7"	"4"	"1"	"619"	"0"	"6"	"625"	"0"
"18"	"6"	"11"	"192"	"316"	"48"	"5"	"3"	"5"	"4"	"5"	"7"	"3"	"2"	"601"	"0"	"9"	"610"	"0"
"19"	"7"	"12"	"252"	"227"	"130"	"7"	"6"	"8"	"1"	"6"	"7"	"4"	"5"	"665"	"0"	"4"	"669"	"0"
"20"	"8"	"17"	"81"	"522"	"178"	"6"	"8"	"11"	"1"	"6"	"18"	"17"	"10"	"875"	"0"	"36"	"911"	"0"
"21"	"9"	"9"	"218"	"172"	"85"	"2"	"1"	"5"	"1"	"0"	"5"	"0"	"2"	"500"	"0"	"2"	"502"	"0"
"22"	"10"	"5"	"23"	"176"	"202"	"2"	"1"	"6"	"2"	"3"	"2"	"2"	"3"	"427"	"0"	"5"	"432"	"0"
"23"	"11"	"11"	"126"	"380"	"163"	"9"	"4"	"8"	"5"	"7"	"17"	"6"	"9"	"745"	"0"	"11"	"756"	"0"
"24"	"12"	"23"	"180"	"225"	"201"	"6"	"2"	"5"	"1"	"0"	"3"	"6"	"7"	"659"	"0"	"3"	"662"	"0"
