"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 18-Siwan PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  270084"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Siwan(105)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Om Prakash Yadav"	"Ganesh Ram"	"Manoj Kumar Singh"	"Hena Shahab"	"Amar Nath Yadav"	"Khalil Miya"	"Nagendra Tiwari"	"Narad Pndit"	"Paramanand Gond"	"Parmeshwar Manjhi"	"Ranjan Kumar"	"Ram Binay Ray"	"Satya Prakash Pandey"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"553"	"9"	"40"	"182"	"5"	"1"	"1"	"0"	"0"	"4"	"6"	"6"	"5"	"812"	"0"	"28"	"840"	"0"
"14"	"2"	"303"	"7"	"9"	"388"	"7"	"3"	"2"	"1"	"1"	"4"	"8"	"8"	"8"	"749"	"0"	"16"	"765"	"0"
"15"	"3"	"270"	"7"	"6"	"47"	"2"	"2"	"1"	"0"	"1"	"3"	"5"	"6"	"3"	"353"	"0"	"8"	"361"	"0"
"16"	"4"	"330"	"5"	"34"	"76"	"3"	"2"	"4"	"0"	"0"	"0"	"3"	"5"	"4"	"466"	"0"	"10"	"476"	"0"
"17"	"4A"	"277"	"9"	"18"	"240"	"5"	"0"	"1"	"0"	"0"	"2"	"14"	"11"	"9"	"586"	"0"	"28"	"614"	"0"
"18"	"5"	"129"	"4"	"49"	"274"	"7"	"3"	"2"	"4"	"1"	"2"	"5"	"6"	"9"	"495"	"0"	"4"	"499"	"0"
"19"	"6"	"192"	"4"	"4"	"423"	"5"	"1"	"3"	"1"	"1"	"1"	"3"	"2"	"3"	"643"	"0"	"7"	"650"	"0"
"20"	"7"	"89"	"3"	"16"	"273"	"7"	"0"	"0"	"1"	"1"	"0"	"5"	"3"	"2"	"400"	"0"	"3"	"403"	"0"
"21"	"8"	"421"	"8"	"7"	"98"	"1"	"5"	"1"	"0"	"2"	"1"	"12"	"11"	"6"	"573"	"0"	"15"	"588"	"0"
"22"	"9"	"275"	"2"	"17"	"222"	"5"	"5"	"1"	"0"	"5"	"3"	"1"	"4"	"4"	"544"	"0"	"4"	"548"	"0"
"23"	"10"	"48"	"1"	"20"	"265"	"5"	"0"	"1"	"1"	"0"	"3"	"3"	"2"	"4"	"353"	"0"	"9"	"362"	"0"
