"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 2-Pashchim Champaran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  239359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sugauli(11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Prakash Jha"	"Prabhu Raj Narain Rao"	"Raghunath Jha"	"Dr. Sanjay Jaiswal"	"Syed Shamim Akhtar"	"Anand Kaushal Singh"	"Sunil kumar Rao"	"Anand Prasad"	"Nafish Ahamad"	"Mohan Kumar"	"Ratan Kumar Sarkar"	"Syed Irshad Akhtar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"367"	"9"	"8"	"120"	"3"	"1"	"17"	"2"	"9"	"9"	"2"	"7"	"554"	"0"	"8"	"562"	"0"
"14"	"2"	"149"	"24"	"13"	"163"	"4"	"3"	"9"	"1"	"9"	"8"	"1"	"4"	"388"	"0"	"6"	"394"	"0"
"15"	"3"	"103"	"14"	"25"	"467"	"12"	"3"	"6"	"4"	"9"	"10"	"6"	"12"	"671"	"0"	"21"	"692"	"0"
"16"	"4"	"24"	"7"	"27"	"560"	"6"	"2"	"45"	"1"	"3"	"6"	"6"	"7"	"694"	"0"	"3"	"697"	"0"
"17"	"5"	"1057"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"1070"	"0"	"1"	"1071"	"0"
"18"	"6"	"212"	"1"	"6"	"28"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"1"	"254"	"0"	"2"	"256"	"0"
"19"	"7"	"219"	"6"	"30"	"84"	"1"	"3"	"0"	"0"	"2"	"2"	"0"	"1"	"348"	"0"	"9"	"357"	"0"
"20"	"8"	"187"	"8"	"113"	"50"	"1"	"1"	"4"	"7"	"6"	"0"	"4"	"3"	"384"	"0"	"13"	"397"	"0"
"21"	"9"	"185"	"23"	"106"	"289"	"7"	"7"	"6"	"8"	"16"	"6"	"8"	"13"	"674"	"0"	"33"	"707"	"0"
"22"	"10"	"133"	"14"	"40"	"373"	"4"	"6"	"1"	"3"	"6"	"9"	"4"	"13"	"606"	"0"	"9"	"615"	"0"
"23"	"11"	"183"	"8"	"11"	"281"	"4"	"0"	"4"	"2"	"2"	"3"	"0"	"0"	"498"	"0"	"2"	"500"	"0"
"24"	"12"	"93"	"7"	"132"	"58"	"4"	"3"	"1"	"5"	"7"	"1"	"1"	"1"	"313"	"0"	"7"	"320"	"0"
