"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  241026"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bochaha(91)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"
"13"	"1"	"261"	"470"	"13"	"39"	"7"	"8"	"3"	"1"	"1"	"2"	"0"	"2"	"3"	"1"	"2"	"3"	"1"	"0"	"4"	"2"	"1"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"832"	"0"	"0"	"832"	"0"
"14"	"2"	"32"	"508"	"6"	"75"	"4"	"15"	"3"	"4"	"1"	"1"	"5"	"6"	"11"	"8"	"23"	"22"	"1"	"7"	"1"	"7"	"2"	"30"	"4"	"4"	"6"	"6"	"6"	"7"	"10"	"815"	"0"	"18"	"833"	"0"
"15"	"3"	"24"	"488"	"10"	"49"	"9"	"15"	"3"	"2"	"4"	"2"	"1"	"5"	"5"	"2"	"14"	"16"	"4"	"15"	"7"	"1"	"2"	"17"	"1"	"3"	"2"	"3"	"1"	"7"	"7"	"719"	"0"	"8"	"727"	"0"
"16"	"4"	"11"	"248"	"5"	"170"	"3"	"38"	"1"	"0"	"2"	"4"	"2"	"2"	"11"	"8"	"4"	"12"	"3"	"6"	"1"	"2"	"0"	"14"	"0"	"1"	"1"	"5"	"0"	"1"	"2"	"557"	"0"	"4"	"561"	"0"
"17"	"5"	"95"	"443"	"6"	"95"	"1"	"18"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"3"	"2"	"2"	"4"	"0"	"4"	"1"	"1"	"0"	"4"	"1"	"0"	"0"	"688"	"0"	"2"	"690"	"0"
"18"	"6"	"42"	"217"	"5"	"16"	"6"	"8"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"4"	"1"	"2"	"1"	"0"	"2"	"0"	"7"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"329"	"0"	"2"	"331"	"0"
"19"	"7"	"143"	"508"	"17"	"29"	"7"	"4"	"2"	"4"	"1"	"2"	"2"	"3"	"2"	"3"	"0"	"4"	"8"	"10"	"5"	"1"	"3"	"23"	"3"	"0"	"1"	"0"	"1"	"3"	"6"	"795"	"0"	"5"	"800"	"0"
"20"	"8"	"40"	"737"	"13"	"56"	"14"	"12"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"2"	"12"	"1"	"4"	"3"	"21"	"2"	"2"	"1"	"7"	"1"	"2"	"8"	"948"	"0"	"9"	"957"	"0"
"21"	"9"	"333"	"235"	"7"	"253"	"5"	"60"	"6"	"0"	"3"	"3"	"4"	"4"	"9"	"5"	"3"	"12"	"5"	"18"	"4"	"4"	"4"	"8"	"3"	"2"	"5"	"7"	"2"	"6"	"5"	"101
5"	"0"	"10"	"102
5"	"0"
"22"	"10"	"67"	"370"	"3"	"90"	"13"	"36"	"5"	"5"	"5"	"4"	"3"	"4"	"18"	"11"	"16"	"28"	"13"	"30"	"14"	"22"	"12"	"46"	"11"	"14"	"17"	"24"	"17"	"24"	"27"	"949"	"0"	"32"	"981"	"0"
"23"	"11"	"102"	"565"	"9"	"78"	"6"	"22"	"1"	"3"	"3"	"4"	"5"	"4"	"13"	"11"	"16"	"24"	"1"	"10"	"4"	"2"	"1"	"16"	"2"	"1"	"2"	"3"	"4"	"4"	"2"	"918"	"0"	"4"	"922"	"0"
"24"	"12"	"72"	"275"	"6"	"36"	"5"	"5"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"410"	"0"	"0"	"410"	"0"
"25"	"13"	"277"	"516"	"15"	"124"	"7"	"24"	"11"	"8"	"7"	"2"	"2"	"3"	"7"	"2"	"2"	"0"	"7"	"4"	"3"	"3"	"1"	"12"	"1"	"1"	"0"	"0"	"0"	"4"	"2"	"104
5"	"0"	"3"	"104
8"	"0"
"26"	"14"	"90"	"540"	"9"	"87"	"5"	"18"	"3"	"2"	"1"	"3"	"1"	"3"	"7"	"1"	"1"	"6"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"785"	"0"	"0"	"785"	"0"
"27"	"15"	"103"	"584"	"18"	"188"	"8"	"31"	"3"	"7"	"2"	"3"	"1"	"0"	"7"	"0"	"60"	"2"	"6"	"2"	"4"	"5"	"2"	"1"	"1"	"0"	"4"	"3"	"1"	"2"	"2"	"105
0"	"0"	"4"	"105
4"	"0"
"28"	"16"	"283"	"320"	"7"	"37"	"1"	"12"	"3"	"2"	"5"	"4"	"2"	"3"	"6"	"5"	"11"	"17"	"6"	"15"	"1"	"3"	"1"	"4"	"0"	"1"	"4"	"2"	"3"	"2"	"3"	"763"	"0"	"8"	"771"	"0"
"29"	"17"	"159"	"374"	"2"	"49"	"2"	"17"	"0"	"0"	"1"	"2"	"2"	"1"	"6"	"2"	"13"	"9"	"0"	"11"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"656"	"0"	"1"	"657"	"0"
