"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 38-Gaya PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  240860"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Gaya Town(230)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jitan Ram Manjhi"	"Ramji Manjhi"	"Shiv Kumar Kant"	"Hari Manjhi"	"Ashok Kumar"	"Indradeo Choudhary"	"Kapil Choudhary"	"Dhananjay Kishor"	"Niranjan Kumar"	"Bhuneshwar Das"	"Mamta Kumari"	"Shiv Shankar Kumar"	"Dr. Dev Kumar Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"43"	"90"	"9"	"323"	"26"	"5"	"8"	"12"	"5"	"7"	"6"	"5"	"6"	"545"	"0"	"10"	"555"	"0"
"14"	"2"	"151"	"53"	"4"	"301"	"41"	"6"	"4"	"6"	"41"	"5"	"3"	"5"	"35"	"655"	"0"	"24"	"679"	"0"
"15"	"3"	"71"	"16"	"6"	"338"	"30"	"7"	"5"	"6"	"75"	"9"	"13"	"8"	"33"	"617"	"0"	"19"	"636"	"0"
"16"	"4"	"78"	"137"	"8"	"400"	"39"	"11"	"11"	"10"	"8"	"17"	"7"	"7"	"12"	"745"	"0"	"18"	"763"	"0"
"17"	"5"	"23"	"118"	"7"	"182"	"14"	"3"	"2"	"9"	"1"	"1"	"1"	"2"	"1"	"364"	"0"	"2"	"366"	"0"
"18"	"6"	"62"	"92"	"6"	"289"	"38"	"1"	"1"	"9"	"2"	"0"	"3"	"2"	"8"	"513"	"0"	"6"	"519"	"0"
"19"	"7"	"78"	"133"	"16"	"446"	"49"	"8"	"8"	"11"	"12"	"11"	"2"	"1"	"13"	"788"	"0"	"8"	"796"	"0"
"20"	"8"	"35"	"34"	"10"	"428"	"24"	"4"	"9"	"5"	"4"	"8"	"5"	"5"	"9"	"580"	"0"	"12"	"592"	"0"
"21"	"9"	"27"	"38"	"4"	"258"	"17"	"0"	"4"	"9"	"4"	"2"	"3"	"6"	"7"	"379"	"0"	"5"	"384"	"0"
"22"	"10"	"65"	"81"	"18"	"260"	"26"	"2"	"3"	"6"	"5"	"2"	"3"	"5"	"7"	"483"	"0"	"7"	"490"	"0"
"23"	"11"	"66"	"37"	"7"	"274"	"41"	"6"	"4"	"3"	"3"	"4"	"4"	"7"	"3"	"459"	"0"	"16"	"475"	"0"
