"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  227809"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Banka(161)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"27"	"320"	"31"	"2"	"2"	"0"	"1"	"0"	"0"	"3"	"4"	"5"	"1"	"4"	"5"	"13"	"1"	"419"	"0"	"6"	"425"	"0"
"14"	"2"	"38"	"480"	"76"	"7"	"2"	"1"	"0"	"4"	"5"	"1"	"1"	"4"	"4"	"5"	"12"	"9"	"2"	"651"	"0"	"3"	"654"	"0"
"15"	"3"	"187"	"120"	"23"	"6"	"0"	"2"	"2"	"1"	"1"	"4"	"1"	"1"	"1"	"3"	"5"	"17"	"5"	"379"	"0"	"6"	"385"	"0"
"16"	"4"	"77"	"277"	"299"	"5"	"2"	"2"	"8"	"5"	"6"	"4"	"5"	"12"	"7"	"24"	"36"	"58"	"6"	"833"	"0"	"25"	"858"	"0"
"17"	"5"	"144"	"209"	"105"	"7"	"5"	"3"	"1"	"1"	"2"	"7"	"2"	"0"	"4"	"7"	"10"	"38"	"13"	"558"	"0"	"11"	"569"	"0"
"18"	"6"	"44"	"282"	"273"	"10"	"0"	"3"	"11"	"1"	"4"	"3"	"10"	"6"	"7"	"13"	"14"	"27"	"3"	"711"	"0"	"12"	"723"	"0"
"19"	"7"	"30"	"204"	"353"	"7"	"2"	"3"	"7"	"1"	"1"	"1"	"5"	"5"	"2"	"22"	"15"	"27"	"1"	"686"	"0"	"17"	"703"	"0"
