"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 34-Sasaram PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  258104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chenari(207)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Karra Parasu Ramaiah"	"Chhedi Paswan"	"Baleshwar Bharti"	"Meira Kumar"	"Geeta Arya"	"Tetri Devi"	"Saroj Ram"	"Nand Lal Ram"	"Ravikant Chaudhary"	"Rajnarain Rao"	"Surendra Ram"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"25"	"238"	"67"	"124"	"2"	"6"	"6"	"2"	"1"	"1"	"4"	"476"	"0"	"13"	"489"	"0"
"14"	"2"	"24"	"162"	"3"	"183"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"388"	"0"	"6"	"394"	"0"
"15"	"3"	"12"	"123"	"5"	"288"	"8"	"4"	"0"	"1"	"0"	"3"	"1"	"445"	"0"	"9"	"454"	"0"
"16"	"4"	"13"	"81"	"7"	"339"	"7"	"0"	"0"	"1"	"1"	"1"	"1"	"451"	"0"	"6"	"457"	"0"
"17"	"5"	"10"	"71"	"8"	"221"	"6"	"3"	"1"	"0"	"1"	"3"	"4"	"328"	"0"	"6"	"334"	"0"
"18"	"6"	"28"	"229"	"14"	"189"	"13"	"5"	"3"	"5"	"10"	"9"	"14"	"519"	"0"	"21"	"540"	"0"
"19"	"7"	"4"	"102"	"4"	"163"	"3"	"1"	"0"	"0"	"2"	"5"	"3"	"287"	"0"	"7"	"294"	"0"
"20"	"8"	"74"	"301"	"14"	"314"	"8"	"1"	"6"	"3"	"5"	"3"	"2"	"731"	"0"	"18"	"749"	"0"
"21"	"9"	"45"	"450"	"4"	"120"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"624"	"0"	"1"	"625"	"0"
"22"	"10"	"24"	"567"	"7"	"171"	"5"	"2"	"2"	"1"	"1"	"4"	"11"	"795"	"0"	"17"	"812"	"0"
"23"	"11"	"16"	"322"	"26"	"142"	"2"	"1"	"3"	"6"	"2"	"11"	"5"	"536"	"0"	"15"	"551"	"0"
"24"	"12"	"154"	"264"	"42"	"206"	"10"	"3"	"3"	"1"	"7"	"5"	"12"	"707"	"0"	"43"	"750"	"0"
"25"	"13"	"21"	"226"	"3"	"143"	"3"	"1"	"1"	"2"	"1"	"2"	"0"	"403"	"0"	"10"	"413"	"0"
