"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  254639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Darbhanga Rural(82)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"290"	"225"	"4"	"18"	"21"	"13"	"4"	"6"	"1"	"4"	"2"	"5"	"11"	"4"	"20"	"628"	"0"	"23"	"651"	"0"
"14"	"2"	"17"	"150"	"3"	"116"	"3"	"24"	"0"	"4"	"2"	"2"	"8"	"1"	"9"	"3"	"3"	"345"	"0"	"4"	"349"	"0"
"15"	"3"	"153"	"123"	"9"	"73"	"3"	"15"	"2"	"6"	"2"	"1"	"6"	"0"	"16"	"4"	"20"	"433"	"0"	"11"	"444"	"0"
"16"	"4"	"8"	"140"	"1"	"55"	"4"	"10"	"1"	"5"	"2"	"0"	"5"	"0"	"2"	"2"	"2"	"237"	"0"	"3"	"240"	"0"
"17"	"5"	"283"	"115"	"13"	"32"	"5"	"11"	"3"	"6"	"3"	"1"	"0"	"1"	"1"	"0"	"3"	"477"	"0"	"5"	"482"	"0"
"18"	"6"	"269"	"74"	"2"	"13"	"3"	"9"	"1"	"5"	"5"	"1"	"1"	"2"	"1"	"6"	"12"	"404"	"0"	"19"	"423"	"0"
"19"	"7"	"147"	"56"	"3"	"38"	"3"	"16"	"0"	"2"	"2"	"1"	"20"	"3"	"1"	"1"	"5"	"298"	"0"	"9"	"307"	"0"
"20"	"8"	"274"	"35"	"4"	"154"	"8"	"28"	"2"	"24"	"4"	"3"	"7"	"5"	"21"	"6"	"16"	"591"	"0"	"45"	"636"	"0"
