"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  271091"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Garkha(119)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"8"	"296"	"87"	"34"	"3"	"3"	"5"	"1"	"6"	"18"	"11"	"472"	"0"	"22"	"494"	"0"
"14"	"2"	"12"	"289"	"282"	"76"	"9"	"2"	"9"	"1"	"14"	"26"	"8"	"728"	"0"	"33"	"761"	"0"
"15"	"3"	"9"	"345"	"142"	"30"	"3"	"1"	"3"	"3"	"15"	"11"	"8"	"570"	"0"	"20"	"590"	"0"
"16"	"4"	"27"	"172"	"265"	"9"	"6"	"2"	"1"	"2"	"7"	"20"	"7"	"518"	"0"	"23"	"541"	"0"
"17"	"5"	"22"	"177"	"228"	"30"	"2"	"3"	"1"	"3"	"8"	"17"	"12"	"503"	"0"	"22"	"525"	"0"
"18"	"5A"	"6"	"245"	"127"	"23"	"5"	"1"	"3"	"4"	"10"	"12"	"4"	"440"	"0"	"22"	"462"	"0"
"19"	"6"	"17"	"168"	"272"	"56"	"3"	"5"	"4"	"3"	"12"	"19"	"5"	"564"	"0"	"28"	"592"	"0"
"20"	"7"	"6"	"116"	"445"	"46"	"3"	"5"	"3"	"0"	"5"	"13"	"8"	"650"	"0"	"27"	"677"	"0"
"21"	"8"	"4"	"41"	"361"	"28"	"1"	"3"	"1"	"3"	"2"	"6"	"1"	"451"	"0"	"9"	"460"	"0"
"22"	"9"	"7"	"69"	"343"	"7"	"7"	"3"	"0"	"1"	"3"	"25"	"6"	"471"	"0"	"9"	"480"	"0"
"23"	"10"	"12"	"269"	"142"	"186"	"9"	"5"	"4"	"2"	"10"	"10"	"14"	"663"	"0"	"19"	"682"	"0"
"24"	"11"	"6"	"159"	"135"	"79"	"3"	"1"	"2"	"2"	"1"	"10"	"4"	"402"	"0"	"8"	"410"	"0"
"25"	"12"	"17"	"526"	"161"	"13"	"8"	"11"	"2"	"2"	"15"	"12"	"21"	"788"	"0"	"22"	"810"	"0"
