"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 8-Supaul PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  247207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Triveniganj(44)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Aman Kumar Samajsevi"	"Kameshwar Chaupal"	"Dileshwar Kamait"	"Ranjeet Ranjan"	"Jay Narayan Yadav"	"Dev Narayan Yadav"	"Parmeshwar Jha"	"Mohammad Amanullah"	"Shakaldev Mandal"	"Suresh Kumar Azad"	"Binod Kumar Sahu"	"Ramdev Sharma"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"7"	"160"	"83"	"89"	"5"	"2"	"4"	"1"	"1"	"5"	"5"	"2"	"364"	"0"	"7"	"371"	"0"
"14"	"2"	"10"	"110"	"104"	"271"	"13"	"2"	"6"	"1"	"4"	"4"	"1"	"3"	"529"	"0"	"7"	"536"	"0"
"15"	"3"	"2"	"87"	"8"	"197"	"6"	"1"	"4"	"1"	"0"	"5"	"0"	"1"	"312"	"0"	"5"	"317"	"0"
"16"	"4"	"8"	"186"	"171"	"130"	"8"	"3"	"5"	"4"	"5"	"9"	"12"	"5"	"546"	"0"	"9"	"555"	"0"
"17"	"5"	"14"	"129"	"197"	"219"	"11"	"5"	"10"	"4"	"5"	"12"	"10"	"11"	"627"	"0"	"26"	"653"	"0"
"18"	"6"	"13"	"184"	"173"	"423"	"7"	"1"	"7"	"3"	"3"	"5"	"4"	"7"	"830"	"0"	"16"	"846"	"0"
"19"	"7"	"26"	"52"	"234"	"157"	"4"	"0"	"6"	"4"	"4"	"10"	"6"	"0"	"503"	"0"	"7"	"510"	"0"
"20"	"8"	"3"	"18"	"131"	"443"	"6"	"0"	"6"	"3"	"2"	"2"	"2"	"1"	"617"	"0"	"8"	"625"	"0"
"21"	"9"	"9"	"279"	"83"	"125"	"2"	"4"	"2"	"3"	"4"	"8"	"7"	"10"	"536"	"0"	"15"	"551"	"0"
"22"	"10"	"6"	"127"	"220"	"49"	"4"	"1"	"2"	"3"	"2"	"4"	"15"	"6"	"439"	"0"	"17"	"456"	"0"
"23"	"11"	"23"	"124"	"140"	"235"	"8"	"3"	"8"	"1"	"4"	"5"	"6"	"5"	"562"	"0"	"4"	"566"	"0"
"24"	"12"	"19"	"212"	"523"	"172"	"7"	"6"	"5"	"6"	"8"	"18"	"10"	"7"	"993"	"0"	"18"	"1011"	"0"
