"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30-Patna Sahib PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  407954"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Digha(181)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kunal Singh"	"Ganesh Saw"	"Dr. Gopal Prasad Sinha"	"Shatrughana Sinha"	"Umesh Kumar"	"Gajendra Kumar"	"Chandra Bhushan Prasad Chandravan shi"	"Jauhar Azad"	"Parveen Amanullah"	"Parwez Ahmad"	"Dr. Rakesh Dutta Mishra"	"Lal Bahadur Singh Patel"	"Shreekant Labh"	"Anil Kumar"	"Kumar Rajiv"	"Ganga Vishnu Prasad"	"Nand Kishore Singh"	"Vijay Kumar Sahni"	"Shyam Nandan Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"136"	"1"	"31"	"204"	"1"	"2"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"5"	"0"	"1"	"395"	"0"	"2"	"397"	"0"
"14"	"2"	"203"	"4"	"32"	"231"	"3"	"1"	"0"	"1"	"5"	"1"	"2"	"1"	"0"	"4"	"2"	"5"	"4"	"1"	"0"	"500"	"0"	"1"	"501"	"0"
"15"	"3"	"70"	"2"	"23"	"511"	"3"	"1"	"1"	"0"	"7"	"0"	"1"	"1"	"1"	"2"	"3"	"3"	"1"	"0"	"3"	"633"	"0"	"8"	"641"	"0"
"16"	"4"	"93"	"5"	"23"	"257"	"2"	"1"	"2"	"1"	"9"	"1"	"2"	"4"	"0"	"1"	"3"	"3"	"5"	"2"	"2"	"416"	"0"	"7"	"423"	"0"
"17"	"4A"	"94"	"0"	"19"	"145"	"1"	"2"	"0"	"1"	"6"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"278"	"0"	"0"	"278"	"0"
