"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 7-Jhanjharpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  290172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Laukaha(40)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Devendra Prasad Yadav"	"Mangani Lal Mandal"	"Manilal Sahu"	"Birendra Kumar Chaudhary"	"Md.Akhtar Ali"	"Tiliya Devi"	"Md. Faiyaz Khan"	"Vighnesh Bhagat"	"Bipin Kumar Jha"	"Haidar"	"Awdhesh Kumar Shingh"	"Ibrahim Abbasi"	"Chandra Mohan Jha"	"Chhedi Ram"	"Janak Roy"	"Pawan Kumar"	"Barun Kumar Jha"	"Ram Chandra Safi"	"Dr. Binay Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"168"	"154"	"223"	"270"	"13"	"3"	"3"	"4"	"9"	"5"	"4"	"6"	"8"	"9"	"5"	"6"	"29"	"19"	"14"	"952"	"0"	"7"	"959"	"0"
"14"	"2"	"181"	"59"	"129"	"142"	"4"	"9"	"5"	"1"	"12"	"4"	"4"	"2"	"10"	"8"	"2"	"11"	"30"	"24"	"8"	"645"	"0"	"11"	"656"	"0"
"15"	"3"	"64"	"318"	"275"	"126"	"5"	"2"	"6"	"2"	"6"	"8"	"3"	"3"	"8"	"2"	"3"	"9"	"27"	"10"	"12"	"889"	"0"	"9"	"898"	"0"
"16"	"4"	"129"	"616"	"75"	"70"	"3"	"4"	"2"	"1"	"2"	"8"	"2"	"5"	"8"	"9"	"10"	"36"	"5"	"3"	"2"	"990"	"0"	"3"	"993"	"0"
"17"	"5"	"185"	"184"	"29"	"334"	"21"	"11"	"8"	"9"	"11"	"6"	"2"	"7"	"11"	"9"	"4"	"9"	"9"	"13"	"2"	"864"	"0"	"4"	"868"	"0"
