"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 38-Gaya PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  270852"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bodh Gaya(229)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jitan Ram Manjhi"	"Ramji Manjhi"	"Shiv Kumar Kant"	"Hari Manjhi"	"Ashok Kumar"	"Indradeo Choudhary"	"Kapil Choudhary"	"Dhananjay Kishor"	"Niranjan Kumar"	"Bhuneshwar Das"	"Mamta Kumari"	"Shiv Shankar Kumar"	"Dr. Dev Kumar Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"131"	"35"	"19"	"161"	"99"	"5"	"2"	"5"	"7"	"24"	"6"	"5"	"130"	"629"	"0"	"25"	"654"	"0"
"14"	"2"	"78"	"244"	"5"	"47"	"36"	"1"	"1"	"1"	"7"	"14"	"5"	"5"	"76"	"520"	"0"	"24"	"544"	"0"
"15"	"3"	"16"	"145"	"1"	"166"	"5"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"340"	"0"	"4"	"344"	"0"
"16"	"4"	"7"	"0"	"1"	"214"	"10"	"3"	"6"	"1"	"5"	"2"	"5"	"2"	"5"	"261"	"0"	"5"	"266"	"0"
"17"	"5"	"112"	"94"	"4"	"188"	"32"	"5"	"7"	"3"	"1"	"6"	"5"	"6"	"16"	"479"	"0"	"30"	"509"	"0"
"18"	"6"	"30"	"245"	"2"	"173"	"35"	"2"	"4"	"11"	"2"	"3"	"2"	"9"	"9"	"527"	"0"	"9"	"536"	"0"
"19"	"7"	"68"	"212"	"34"	"181"	"53"	"7"	"11"	"12"	"5"	"9"	"5"	"16"	"29"	"642"	"0"	"31"	"673"	"0"
"20"	"8"	"98"	"103"	"9"	"512"	"70"	"5"	"13"	"15"	"4"	"16"	"8"	"11"	"21"	"885"	"0"	"18"	"903"	"0"
"21"	"9"	"106"	"106"	"22"	"393"	"71"	"9"	"15"	"16"	"6"	"9"	"9"	"5"	"44"	"811"	"0"	"12"	"823"	"0"
"22"	"10"	"81"	"74"	"4"	"588"	"46"	"2"	"12"	"5"	"7"	"5"	"5"	"11"	"24"	"864"	"0"	"21"	"885"	"0"
