"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19-Maharajganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  272017"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Ekma(113)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"JANARDAN SINGH “SIGRIWAL”"	"NAGENDRA PRASAD"	"PRABHU NATH SINGH"	"MANORANJAN SINGH"	"BYAS MANJHI"	"RINA RANI"	"UMASHANKAR TIWARI"	"DR. GOPAL PRASAD"	"BRINDA PATHAK"	"SHIV NATH MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"107"	"2"	"180"	"54"	"0"	"1"	"1"	"1"	"4"	"1"	"351"	"0"	"11"	"362"	"0"
"14"	"1A"	"114"	"0"	"133"	"86"	"2"	"1"	"4"	"1"	"5"	"6"	"352"	"0"	"6"	"358"	"0"
"15"	"2"	"181"	"35"	"111"	"213"	"9"	"10"	"10"	"8"	"17"	"6"	"600"	"0"	"5"	"605"	"0"
"16"	"3"	"83"	"3"	"151"	"256"	"3"	"3"	"2"	"10"	"13"	"0"	"524"	"0"	"10"	"534"	"0"
"17"	"4"	"160"	"3"	"23"	"191"	"4"	"4"	"9"	"12"	"7"	"4"	"417"	"0"	"15"	"432"	"0"
"18"	"5"	"273"	"5"	"58"	"193"	"3"	"12"	"6"	"5"	"9"	"6"	"570"	"0"	"4"	"574"	"0"
"19"	"6"	"273"	"6"	"156"	"60"	"1"	"3"	"4"	"6"	"11"	"3"	"523"	"0"	"10"	"533"	"0"
"20"	"7"	"195"	"1"	"234"	"63"	"2"	"4"	"7"	"7"	"5"	"4"	"522"	"0"	"6"	"528"	"0"
"21"	"8"	"110"	"0"	"67"	"57"	"1"	"3"	"2"	"2"	"3"	"0"	"245"	"0"	"1"	"246"	"0"
"22"	"9"	"205"	"3"	"73"	"95"	"0"	"2"	"4"	"1"	"10"	"2"	"395"	"0"	"18"	"413"	"0"
"23"	"10"	"138"	"23"	"58"	"93"	"4"	"7"	"8"	"11"	"6"	"8"	"356"	"0"	"27"	"383"	"0"
"24"	"11"	"116"	"5"	"52"	"143"	"3"	"3"	"9"	"8"	"14"	"2"	"355"	"0"	"13"	"368"	"0"
"25"	"11A"	"170"	"7"	"37"	"93"	"4"	"3"	"6"	"4"	"4"	"3"	"331"	"0"	"5"	"336"	"0"
"26"	"12"	"90"	"3"	"22"	"52"	"4"	"3"	"1"	"6"	"5"	"1"	"187"	"0"	"8"	"195"	"0"
