"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 28-Munger PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  245315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Mokama(178)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kamleshwari Mandal"	"Pragati Mehta"	"Rajiv Ranjan Singh alias Lalan Singh"	"Veena Devi"	"Ashok Kumar Singh"	"Pramod Kumar"	"Ram Badan Rai"	"Shankar Prasad"	"Sandeep"	"Suryoday Paswan"	"Uchit Kumar"	"Muzaffar Fakhruddin"	"Sharwan Kumar Anand"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"11"	"99"	"109"	"234"	"21"	"0"	"1"	"2"	"1"	"3"	"8"	"6"	"7"	"502"	"0"	"13"	"515"	"0"
"14"	"2"	"7"	"73"	"159"	"118"	"26"	"1"	"1"	"2"	"3"	"8"	"6"	"7"	"8"	"419"	"0"	"12"	"431"	"0"
"15"	"3"	"14"	"171"	"121"	"213"	"15"	"2"	"2"	"3"	"4"	"8"	"6"	"8"	"4"	"571"	"0"	"6"	"577"	"0"
"16"	"4"	"7"	"53"	"175"	"305"	"27"	"2"	"1"	"5"	"2"	"5"	"16"	"13"	"17"	"628"	"0"	"24"	"652"	"0"
"17"	"5"	"1"	"8"	"224"	"285"	"16"	"1"	"0"	"1"	"4"	"0"	"6"	"1"	"3"	"550"	"0"	"6"	"556"	"0"
"18"	"6"	"3"	"17"	"84"	"478"	"36"	"4"	"1"	"1"	"8"	"8"	"16"	"7"	"11"	"674"	"0"	"13"	"687"	"0"
"19"	"7"	"5"	"10"	"83"	"385"	"13"	"1"	"0"	"3"	"5"	"2"	"8"	"6"	"8"	"529"	"0"	"9"	"538"	"0"
"20"	"8"	"5"	"23"	"113"	"479"	"17"	"2"	"3"	"1"	"2"	"5"	"14"	"7"	"6"	"677"	"0"	"26"	"703"	"0"
"21"	"9"	"7"	"25"	"176"	"508"	"36"	"4"	"1"	"1"	"2"	"4"	"22"	"13"	"8"	"807"	"0"	"15"	"822"	"0"
"22"	"10"	"10"	"10"	"138"	"338"	"27"	"4"	"1"	"2"	"7"	"10"	"37"	"12"	"11"	"607"	"0"	"19"	"626"	"0"
"23"	"11"	"1"	"2"	"54"	"271"	"7"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"340"	"0"	"1"	"341"	"0"
