"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 13-Madhepura PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  301329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Alamnagar(70)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Guljar Kumar"	"Rajesh Ranjan @ Pappu Yadav"	"Vijay Kumar Singh"	"Sharad Yadav"	"Anwar Alam"	"Chandrashekhar Yadav"	"Bhikha Paswan"	"Mohammad Arshad Hussain"	"Sajan Kumar Jha"	"Prasanna Kumar"	"Mina Devi"	"Rajo Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"10"	"44"	"33"	"210"	"5"	"0"	"3"	"9"	"6"	"5"	"4"	"5"	"334"	"0"	"15"	"349"	"0"
"14"	"1A"	"20"	"14"	"67"	"257"	"2"	"3"	"3"	"7"	"2"	"1"	"3"	"3"	"382"	"0"	"7"	"389"	"0"
"15"	"2"	"0"	"35"	"198"	"99"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"1"	"341"	"0"	"8"	"349"	"0"
"16"	"3"	"3"	"37"	"102"	"105"	"3"	"0"	"2"	"2"	"1"	"4"	"0"	"0"	"259"	"0"	"4"	"263"	"0"
"17"	"4"	"7"	"39"	"235"	"220"	"9"	"1"	"6"	"11"	"3"	"8"	"13"	"10"	"562"	"0"	"40"	"602"	"0"
"18"	"5"	"9"	"31"	"140"	"487"	"12"	"5"	"4"	"11"	"3"	"6"	"13"	"4"	"725"	"0"	"21"	"746"	"0"
"19"	"6"	"23"	"93"	"100"	"378"	"13"	"3"	"6"	"11"	"1"	"4"	"5"	"1"	"638"	"0"	"9"	"647"	"0"
"20"	"7"	"16"	"5"	"95"	"462"	"26"	"5"	"7"	"7"	"11"	"6"	"9"	"10"	"659"	"0"	"39"	"698"	"0"
"21"	"8"	"13"	"14"	"139"	"260"	"5"	"1"	"5"	"9"	"4"	"4"	"0"	"5"	"459"	"0"	"7"	"466"	"0"
"22"	"9"	"11"	"132"	"50"	"534"	"11"	"3"	"4"	"12"	"6"	"4"	"3"	"14"	"784"	"0"	"29"	"813"	"0"
"23"	"10"	"29"	"26"	"87"	"485"	"6"	"3"	"7"	"9"	"8"	"1"	"8"	"18"	"687"	"0"	"35"	"722"	"0"
"24"	"11"	"13"	"98"	"178"	"165"	"6"	"1"	"3"	"8"	"3"	"4"	"1"	"5"	"485"	"0"	"2"	"487"	"0"
