"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30-Patna Sahib PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  242420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bakhtiarpur(180)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kunal Singh"	"Ganesh Saw"	"Dr. Gopal Prasad Sinha"	"Shatrughana Sinha"	"Umesh Kumar"	"Gajendra Kumar"	"Chandra Bhushan Prasad Chandravan shi"	"Jauhar Azad"	"Parveen Amanullah"	"Parwez Ahmad"	"Dr. Rakesh Dutta Mishra"	"Lal Bahadur Singh Patel"	"Shreekant Labh"	"Anil Kumar"	"Kumar Rajiv"	"Ganga Vishnu Prasad"	"Nand Kishore Singh"	"Vijay Kumar Sahni"	"Shyam Nandan Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"8"	"5"	"110"	"134"	"3"	"4"	"47"	"3"	"2"	"1"	"3"	"2"	"3"	"1"	"2"	"7"	"0"	"0"	"3"	"338"	"0"	"6"	"344"	"0"
"14"	"2"	"17"	"20"	"185"	"144"	"3"	"1"	"18"	"4"	"8"	"7"	"1"	"4"	"2"	"3"	"2"	"12"	"0"	"0"	"2"	"433"	"0"	"4"	"437"	"0"
"15"	"3"	"64"	"7"	"254"	"117"	"3"	"1"	"2"	"4"	"6"	"1"	"1"	"2"	"1"	"3"	"1"	"5"	"3"	"0"	"2"	"477"	"0"	"2"	"479"	"0"
"16"	"4"	"0"	"2"	"285"	"88"	"4"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"6"	"4"	"2"	"2"	"1"	"0"	"4"	"402"	"0"	"3"	"405"	"0"
"17"	"5"	"1"	"3"	"298"	"64"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"1"	"4"	"4"	"2"	"4"	"1"	"0"	"1"	"388"	"0"	"1"	"389"	"0"
