"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 4-Sheohar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  219289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Madhuban(18)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Angesh Kumar"	"Md. Anwarul Haque"	"Rama Devi"	"Shahid Ali Khan"	"Jagranath Sahani"	"Jata Shankar Aatrey"	"Md. Nasruddin Ansari"	"Ramashankar Singh"	"Ram Lobhit Paswan"	"Laxman Paswan"	"Lovely Anand"	"Shatrughna Sahu"	"Ramashish Mahato"	"Shivanandan Prasad"	"Sanjay Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"25"	"27"	"240"	"56"	"6"	"3"	"0"	"0"	"3"	"20"	"4"	"5"	"5"	"3"	"6"	"403"	"0"	"6"	"409"	"0"
"14"	"2"	"110"	"29"	"154"	"93"	"7"	"2"	"3"	"2"	"4"	"24"	"10"	"5"	"2"	"6"	"5"	"456"	"0"	"10"	"466"	"0"
"15"	"3"	"17"	"20"	"386"	"103"	"13"	"2"	"2"	"0"	"3"	"18"	"9"	"12"	"7"	"17"	"11"	"620"	"0"	"37"	"657"	"0"
"16"	"4"	"9"	"39"	"463"	"19"	"5"	"5"	"4"	"3"	"6"	"13"	"10"	"12"	"8"	"21"	"12"	"629"	"0"	"19"	"648"	"0"
"17"	"5"	"1"	"9"	"383"	"42"	"1"	"3"	"1"	"0"	"2"	"17"	"54"	"5"	"1"	"10"	"1"	"530"	"0"	"4"	"534"	"0"
"18"	"6"	"4"	"66"	"447"	"18"	"5"	"0"	"1"	"0"	"1"	"8"	"9"	"2"	"1"	"18"	"2"	"582"	"0"	"3"	"585"	"0"
"19"	"7"	"8"	"182"	"201"	"32"	"4"	"1"	"3"	"3"	"3"	"8"	"31"	"2"	"1"	"2"	"2"	"483"	"0"	"2"	"485"	"0"
"20"	"8"	"17"	"143"	"279"	"85"	"4"	"5"	"2"	"5"	"3"	"29"	"106"	"3"	"2"	"4"	"3"	"690"	"0"	"2"	"692"	"0"
"21"	"9"	"5"	"5"	"234"	"119"	"3"	"4"	"0"	"2"	"0"	"25"	"21"	"10"	"22"	"17"	"8"	"475"	"0"	"16"	"491"	"0"
