"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-Patliputra PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  250778"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Paliganj(190)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Misha Bharti"	"Ranjan Prasad Yadav"	"Raj Kumar Ram"	"Ram Kripal Yadav"	"Abinash Kumar"	"Kundan Prasad Singh"	"Chandra Dev Prasad"	"Deo Kumar Verma"	"Nagendra Kumar"	"Mukul Kumar Sharma"	"Rameshwar Prasad"	"Shatrudhan Saw"	"Sunil Kumar"	"Kumar Indra Bhushan"	"Jay Prakash Yadav"	"Durgesh Nandan Singh @ Durgesh Nandan"	"Niraj Kumar"	"Pancham Lal"	"Minendra Kumar Singh"	"Sunil Kumar Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"13"	"1"	"289"	"14"	"2"	"105"	"3"	"8"	"0"	"1"	"2"	"2"	"141"	"2"	"5"	"0"	"0"	"6"	"3"	"0"	"1"	"4"	"588"	"0"	"0"	"588"	"0"
"14"	"1A"	"281"	"6"	"6"	"36"	"2"	"5"	"0"	"1"	"4"	"1"	"22"	"4"	"4"	"1"	"1"	"12"	"9"	"0"	"1"	"2"	"398"	"0"	"3"	"401"	"0"
"15"	"2"	"2"	"4"	"0"	"327"	"0"	"0"	"1"	"1"	"1"	"0"	"15"	"1"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"358"	"0"	"0"	"358"	"0"
"16"	"3"	"475"	"24"	"0"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"3"	"0"	"0"	"1"	"575"	"0"	"2"	"577"	"0"
"17"	"4"	"130"	"10"	"3"	"282"	"5"	"2"	"0"	"1"	"1"	"0"	"8"	"11"	"6"	"1"	"1"	"6"	"1"	"1"	"1"	"2"	"472"	"0"	"0"	"472"	"0"
