"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  255169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Keoti(86)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"150"	"27"	"8"	"376"	"4"	"32"	"2"	"1"	"5"	"3"	"0"	"608"	"0"	"2"	"610"	"0"
"14"	"2"	"135"	"5"	"11"	"398"	"6"	"3"	"2"	"7"	"2"	"3"	"2"	"574"	"0"	"3"	"577"	"0"
"15"	"3"	"324"	"13"	"9"	"303"	"25"	"14"	"5"	"8"	"5"	"11"	"4"	"721"	"0"	"13"	"734"	"0"
"16"	"4"	"258"	"8"	"9"	"195"	"9"	"6"	"2"	"2"	"4"	"3"	"1"	"497"	"0"	"7"	"504"	"0"
"17"	"5"	"163"	"19"	"10"	"244"	"18"	"21"	"1"	"6"	"12"	"9"	"8"	"511"	"0"	"38"	"549"	"0"
"18"	"6"	"176"	"12"	"8"	"412"	"25"	"36"	"9"	"8"	"16"	"4"	"5"	"711"	"0"	"18"	"729"	"0"
"19"	"7"	"172"	"6"	"13"	"331"	"12"	"7"	"5"	"6"	"13"	"10"	"8"	"583"	"0"	"31"	"614"	"0"
"20"	"8"	"73"	"22"	"16"	"531"	"11"	"21"	"3"	"6"	"10"	"4"	"3"	"700"	"0"	"14"	"714"	"0"
"21"	"9"	"314"	"36"	"12"	"261"	"6"	"12"	"2"	"15"	"6"	"10"	"18"	"692"	"0"	"64"	"756"	"0"
"22"	"10"	"169"	"10"	"15"	"462"	"19"	"17"	"6"	"2"	"10"	"8"	"13"	"731"	"0"	"38"	"769"	"0"
"23"	"11"	"342"	"4"	"7"	"333"	"5"	"8"	"1"	"5"	"4"	"5"	"5"	"719"	"0"	"13"	"732"	"0"
"24"	"12"	"93"	"22"	"2"	"230"	"4"	"13"	"2"	"3"	"4"	"4"	"1"	"378"	"0"	"8"	"386"	"0"
"25"	"13"	"169"	"7"	"5"	"323"	"12"	"7"	"2"	"5"	"8"	"9"	"5"	"552"	"0"	"21"	"573"	"0"
