"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  297719"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sulatanganj(157)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"443"	"32"	"83"	"3"	"3"	"0"	"3"	"0"	"4"	"3"	"2"	"2"	"3"	"8"	"6"	"17"	"18"	"630"	"0"	"5"	"635"	"0"
"14"	"2"	"261"	"129"	"211"	"9"	"1"	"3"	"1"	"3"	"2"	"5"	"6"	"5"	"4"	"12"	"8"	"24"	"8"	"692"	"0"	"11"	"703"	"0"
"15"	"3"	"284"	"135"	"174"	"13"	"0"	"2"	"8"	"2"	"10"	"3"	"2"	"5"	"5"	"6"	"5"	"20"	"9"	"683"	"0"	"8"	"691"	"0"
"16"	"4"	"162"	"188"	"105"	"2"	"1"	"0"	"1"	"0"	"3"	"4"	"3"	"7"	"2"	"11"	"12"	"9"	"2"	"512"	"0"	"6"	"518"	"0"
"17"	"4A"	"359"	"85"	"56"	"1"	"1"	"3"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"2"	"2"	"7"	"8"	"530"	"0"	"2"	"532"	"0"
"18"	"5"	"117"	"67"	"206"	"6"	"2"	"2"	"3"	"0"	"4"	"1"	"1"	"2"	"7"	"9"	"1"	"7"	"1"	"436"	"0"	"2"	"438"	"0"
"19"	"5A"	"157"	"160"	"148"	"3"	"1"	"1"	"3"	"3"	"2"	"1"	"4"	"2"	"2"	"7"	"4"	"12"	"4"	"514"	"0"	"4"	"518"	"0"
