"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  263967"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Aurangabad(223)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"136"	"18"	"8"	"451"	"12"	"3"	"3"	"2"	"6"	"8"	"18"	"4"	"16"	"685"	"0"	"22"	"707"	"0"
"14"	"2"	"125"	"36"	"12"	"244"	"4"	"1"	"4"	"1"	"0"	"3"	"3"	"6"	"7"	"446"	"0"	"12"	"458"	"0"
"15"	"3"	"114"	"112"	"12"	"358"	"3"	"6"	"4"	"1"	"1"	"5"	"11"	"6"	"9"	"642"	"0"	"11"	"653"	"0"
"16"	"4"	"72"	"129"	"12"	"222"	"4"	"3"	"2"	"4"	"3"	"2"	"6"	"5"	"4"	"468"	"0"	"9"	"477"	"0"
"17"	"5"	"113"	"45"	"16"	"412"	"7"	"3"	"9"	"1"	"2"	"0"	"5"	"2"	"2"	"617"	"0"	"10"	"627"	"0"
"18"	"6"	"151"	"65"	"12"	"272"	"4"	"5"	"6"	"3"	"3"	"3"	"10"	"4"	"4"	"542"	"0"	"18"	"560"	"0"
"19"	"7"	"151"	"22"	"6"	"135"	"1"	"1"	"6"	"1"	"1"	"2"	"1"	"2"	"5"	"334"	"0"	"16"	"350"	"0"
"20"	"8"	"30"	"462"	"5"	"55"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"7"	"564"	"0"	"5"	"569"	"0"
"21"	"9"	"182"	"79"	"5"	"275"	"8"	"0"	"4"	"8"	"5"	"3"	"5"	"4"	"6"	"584"	"0"	"11"	"595"	"0"
"22"	"10"	"154"	"69"	"15"	"236"	"7"	"3"	"5"	"1"	"3"	"2"	"6"	"5"	"4"	"510"	"0"	"13"	"523"	"0"
"23"	"11"	"191"	"9"	"6"	"169"	"7"	"0"	"1"	"3"	"4"	"1"	"8"	"5"	"4"	"408"	"0"	"15"	"423"	"0"
