"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  289975"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chapra(118)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"7"	"193"	"102"	"13"	"2"	"0"	"1"	"1"	"2"	"1"	"2"	"324"	"0"	"4"	"328"	"0"
"14"	"2"	"10"	"225"	"145"	"58"	"4"	"1"	"4"	"3"	"6"	"10"	"13"	"479"	"0"	"18"	"497"	"0"
"15"	"3"	"19"	"432"	"120"	"156"	"9"	"3"	"4"	"5"	"23"	"17"	"15"	"803"	"0"	"21"	"824"	"0"
"16"	"4"	"3"	"190"	"29"	"14"	"1"	"0"	"4"	"1"	"0"	"1"	"3"	"246"	"0"	"4"	"250"	"0"
"17"	"5"	"6"	"189"	"20"	"8"	"1"	"0"	"1"	"2"	"3"	"2"	"9"	"241"	"0"	"10"	"251"	"0"
"18"	"6"	"5"	"253"	"93"	"47"	"4"	"0"	"2"	"3"	"4"	"8"	"8"	"427"	"0"	"4"	"431"	"0"
"19"	"7"	"28"	"219"	"102"	"81"	"6"	"1"	"1"	"1"	"2"	"3"	"1"	"445"	"0"	"6"	"451"	"0"
"20"	"8"	"15"	"155"	"331"	"112"	"10"	"2"	"3"	"1"	"2"	"16"	"1"	"648"	"0"	"9"	"657"	"0"
"21"	"9"	"22"	"225"	"91"	"380"	"7"	"5"	"18"	"4"	"20"	"21"	"23"	"816"	"0"	"23"	"839"	"0"
"22"	"10"	"18"	"258"	"124"	"55"	"8"	"5"	"8"	"1"	"3"	"11"	"5"	"496"	"0"	"18"	"514"	"0"
"23"	"11"	"8"	"172"	"48"	"41"	"1"	"2"	"1"	"3"	"2"	"1"	"4"	"283"	"0"	"5"	"288"	"0"
"24"	"12"	"7"	"215"	"121"	"18"	"1"	"0"	"0"	"1"	"2"	"6"	"4"	"375"	"0"	"5"	"380"	"0"
"25"	"13"	"17"	"259"	"263"	"141"	"9"	"4"	"12"	"2"	"17"	"9"	"15"	"748"	"0"	"19"	"767"	"0"
