"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19-Maharajganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  261799"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Maharajganj(112)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"JANARDAN SINGH “SIGRIWAL”"	"NAGENDRA PRASAD"	"PRABHU NATH SINGH"	"MANORANJAN SINGH"	"BYAS MANJHI"	"RINA RANI"	"UMASHANKAR TIWARI"	"DR. GOPAL PRASAD"	"BRINDA PATHAK"	"SHIV NATH MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"150"	"10"	"126"	"165"	"2"	"4"	"12"	"7"	"17"	"6"	"499"	"0"	"21"	"520"	"0"
"14"	"2"	"211"	"10"	"92"	"76"	"1"	"6"	"13"	"4"	"8"	"8"	"429"	"0"	"5"	"434"	"0"
"15"	"3"	"275"	"29"	"236"	"47"	"2"	"4"	"25"	"14"	"16"	"16"	"664"	"0"	"26"	"690"	"0"
"16"	"4"	"280"	"8"	"165"	"238"	"3"	"1"	"10"	"9"	"15"	"3"	"732"	"0"	"12"	"744"	"0"
"17"	"5"	"47"	"2"	"308"	"132"	"4"	"4"	"6"	"6"	"13"	"3"	"525"	"0"	"16"	"541"	"0"
"18"	"6"	"43"	"7"	"137"	"63"	"2"	"2"	"6"	"9"	"12"	"8"	"289"	"0"	"29"	"318"	"0"
"19"	"7"	"377"	"21"	"64"	"42"	"0"	"1"	"12"	"5"	"3"	"5"	"530"	"0"	"10"	"540"	"0"
"20"	"8"	"224"	"13"	"236"	"38"	"1"	"8"	"19"	"8"	"15"	"18"	"580"	"0"	"32"	"612"	"0"
"21"	"9"	"372"	"18"	"62"	"101"	"6"	"8"	"12"	"15"	"10"	"13"	"617"	"0"	"28"	"645"	"0"
"22"	"10"	"427"	"21"	"70"	"118"	"6"	"7"	"35"	"14"	"23"	"14"	"735"	"0"	"24"	"759"	"0"
"23"	"11"	"219"	"13"	"413"	"44"	"5"	"9"	"10"	"15"	"11"	"12"	"751"	"0"	"29"	"780"	"0"
"24"	"12"	"95"	"10"	"335"	"40"	"4"	"4"	"1"	"3"	"5"	"0"	"497"	"0"	"5"	"502"	"0"
"25"	"13"	"315"	"13"	"145"	"113"	"4"	"7"	"9"	"10"	"16"	"11"	"643"	"0"	"27"	"670"	"0"
"26"	"14"	"315"	"5"	"2"	"80"	"0"	"0"	"3"	"1"	"2"	"2"	"410"	"0"	"3"	"413"	"0"
