"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  192589"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bibhutipur(138)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"247"	"169"	"1"	"70"	"73"	"9"	"12"	"9"	"1"	"2"	"3"	"4"	"1"	"6"	"6"	"9"	"24"	"8"	"3"	"657"	"0"	"3"	"660"	"0"
"14"	"2"	"283"	"105"	"5"	"23"	"56"	"8"	"22"	"5"	"2"	"1"	"1"	"6"	"7"	"2"	"6"	"6"	"22"	"8"	"5"	"573"	"0"	"2"	"575"	"0"
"15"	"3"	"52"	"521"	"11"	"60"	"25"	"1"	"1"	"3"	"2"	"3"	"2"	"0"	"0"	"3"	"8"	"3"	"11"	"5"	"0"	"711"	"0"	"6"	"717"	"0"
"16"	"4"	"110"	"142"	"14"	"323"	"32"	"4"	"2"	"14"	"3"	"0"	"4"	"1"	"14"	"11"	"7"	"10"	"17"	"6"	"4"	"718"	"0"	"14"	"732"	"0"
"17"	"5"	"89"	"66"	"8"	"237"	"33"	"3"	"5"	"7"	"1"	"2"	"2"	"3"	"2"	"4"	"2"	"5"	"11"	"1"	"0"	"481"	"0"	"3"	"484"	"0"
"18"	"6"	"46"	"359"	"9"	"154"	"95"	"4"	"7"	"8"	"3"	"3"	"0"	"1"	"1"	"5"	"5"	"6"	"6"	"2"	"1"	"715"	"0"	"1"	"716"	"0"
