"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  257036"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Mahnar(129)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"8"	"54"	"546"	"66"	"12"	"1"	"5"	"2"	"1"	"3"	"4"	"13"	"21"	"40"	"8"	"784"	"0"	"22"	"806"	"0"
"14"	"2"	"10"	"205"	"295"	"227"	"15"	"4"	"7"	"5"	"3"	"1"	"2"	"8"	"14"	"19"	"13"	"828"	"0"	"15"	"843"	"0"
"15"	"3"	"6"	"92"	"361"	"248"	"15"	"6"	"1"	"4"	"2"	"3"	"1"	"14"	"25"	"32"	"16"	"826"	"0"	"15"	"841"	"0"
"16"	"4"	"5"	"574"	"109"	"46"	"5"	"1"	"5"	"1"	"3"	"1"	"0"	"3"	"0"	"6"	"16"	"775"	"0"	"7"	"782"	"0"
"17"	"5"	"9"	"483"	"144"	"10"	"2"	"2"	"7"	"2"	"2"	"1"	"0"	"4"	"7"	"14"	"25"	"712"	"0"	"12"	"724"	"0"
"18"	"6"	"5"	"542"	"130"	"8"	"0"	"0"	"12"	"0"	"4"	"2"	"2"	"4"	"0"	"10"	"20"	"739"	"0"	"12"	"751"	"0"
"19"	"7"	"6"	"125"	"184"	"104"	"3"	"3"	"4"	"4"	"1"	"2"	"1"	"3"	"17"	"20"	"12"	"489"	"0"	"19"	"508"	"0"
"20"	"8"	"16"	"79"	"301"	"124"	"8"	"5"	"5"	"1"	"1"	"3"	"2"	"4"	"14"	"12"	"12"	"587"	"0"	"26"	"613"	"0"
"21"	"9"	"1"	"11"	"365"	"64"	"2"	"1"	"4"	"0"	"1"	"1"	"1"	"2"	"7"	"9"	"6"	"475"	"0"	"6"	"481"	"0"
