"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 34-Sasaram PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  313214"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sasaram(208)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Karra Parasu Ramaiah"	"Chhedi Paswan"	"Baleshwar Bharti"	"Meira Kumar"	"Geeta Arya"	"Tetri Devi"	"Saroj Ram"	"Nand Lal Ram"	"Ravikant Chaudhary"	"Rajnarain Rao"	"Surendra Ram"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"10"	"33"	"5"	"464"	"7"	"1"	"2"	"0"	"3"	"1"	"3"	"529"	"0"	"4"	"533"	"0"
"14"	"2"	"19"	"226"	"1"	"86"	"5"	"6"	"0"	"0"	"3"	"2"	"4"	"352"	"0"	"6"	"358"	"0"
"15"	"3"	"9"	"338"	"5"	"105"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"470"	"0"	"6"	"476"	"0"
"16"	"4"	"193"	"276"	"5"	"104"	"7"	"1"	"1"	"0"	"2"	"0"	"1"	"590"	"0"	"5"	"595"	"0"
"17"	"5"	"5"	"34"	"0"	"154"	"2"	"1"	"0"	"1"	"3"	"0"	"1"	"201"	"0"	"8"	"209"	"0"
"18"	"6"	"10"	"60"	"9"	"157"	"5"	"2"	"0"	"1"	"1"	"2"	"0"	"247"	"0"	"4"	"251"	"0"
"19"	"7"	"12"	"52"	"33"	"163"	"7"	"0"	"0"	"1"	"1"	"2"	"2"	"273"	"0"	"1"	"274"	"0"
"20"	"8"	"5"	"13"	"44"	"165"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"232"	"0"	"0"	"232"	"0"
"21"	"9"	"22"	"105"	"6"	"179"	"9"	"0"	"1"	"1"	"2"	"5"	"3"	"333"	"0"	"4"	"337"	"0"
"22"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"23"	"11"	"6"	"129"	"1"	"131"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"273"	"0"	"2"	"275"	"0"
"24"	"12"	"19"	"226"	"0"	"19"	"4"	"8"	"0"	"0"	"1"	"1"	"4"	"282"	"0"	"2"	"284"	"0"
"25"	"13"	"21"	"163"	"7"	"295"	"7"	"4"	"4"	"3"	"3"	"2"	"3"	"512"	"0"	"5"	"517"	"0"
