"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  282161"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Rupauli(60)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"34"	"227"	"2"	"31"	"1"	"1"	"3"	"0"	"2"	"10"	"2"	"1"	"2"	"3"	"4"	"3"	"1"	"327"	"0"	"3"	"330"	"0"
"14"	"2"	"21"	"188"	"11"	"118"	"3"	"3"	"7"	"5"	"6"	"36"	"5"	"8"	"11"	"8"	"19"	"46"	"20"	"515"	"0"	"26"	"541"	"0"
"15"	"3"	"9"	"59"	"3"	"229"	"10"	"7"	"7"	"2"	"6"	"62"	"5"	"8"	"11"	"6"	"6"	"22"	"4"	"456"	"0"	"11"	"467"	"0"
"16"	"3A"	"17"	"151"	"4"	"165"	"6"	"2"	"2"	"4"	"2"	"40"	"4"	"0"	"1"	"5"	"6"	"15"	"7"	"431"	"0"	"12"	"443"	"0"
"17"	"4"	"18"	"441"	"7"	"135"	"2"	"2"	"2"	"0"	"1"	"14"	"1"	"1"	"2"	"2"	"4"	"2"	"7"	"641"	"0"	"5"	"646"	"0"
"18"	"5"	"92"	"60"	"5"	"316"	"9"	"3"	"2"	"1"	"5"	"76"	"5"	"7"	"13"	"4"	"6"	"13"	"3"	"620"	"0"	"4"	"624"	"0"
"19"	"6"	"373"	"66"	"12"	"153"	"6"	"6"	"0"	"3"	"1"	"6"	"2"	"1"	"6"	"2"	"4"	"4"	"7"	"652"	"0"	"11"	"663"	"0"
