"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  262253"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Tikari(231)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"135"	"11"	"1"	"325"	"4"	"5"	"2"	"0"	"4"	"3"	"6"	"0"	"2"	"498"	"0"	"12"	"510"	"0"
"14"	"2"	"218"	"52"	"20"	"169"	"14"	"5"	"4"	"2"	"2"	"4"	"18"	"10"	"18"	"536"	"0"	"49"	"585"	"0"
"15"	"3"	"117"	"1"	"1"	"217"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"341"	"0"	"0"	"341"	"0"
"16"	"4"	"61"	"3"	"2"	"529"	"2"	"0"	"0"	"0"	"1"	"12"	"1"	"0"	"0"	"611"	"0"	"1"	"612"	"0"
"17"	"5"	"7"	"3"	"2"	"488"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"501"	"0"	"0"	"501"	"0"
"18"	"6"	"268"	"16"	"8"	"223"	"1"	"0"	"5"	"2"	"0"	"0"	"1"	"1"	"4"	"529"	"0"	"5"	"534"	"0"
"19"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"8"	"16"	"2"	"3"	"595"	"3"	"3"	"3"	"4"	"2"	"7"	"3"	"1"	"0"	"642"	"0"	"2"	"644"	"0"
"21"	"9"	"511"	"116"	"13"	"101"	"4"	"4"	"7"	"2"	"3"	"2"	"3"	"7"	"7"	"780"	"0"	"14"	"794"	"0"
"22"	"10"	"165"	"25"	"11"	"38"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"246"	"0"	"4"	"250"	"0"
"23"	"11"	"235"	"20"	"5"	"280"	"2"	"7"	"4"	"4"	"3"	"1"	"3"	"0"	"3"	"567"	"0"	"4"	"571"	"0"
