"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 23-Samastipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  283096"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kalyanpur(131)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dr Ashok Kumar"	"Maheshwar Hazari"	"Ram Chandra Ram"	"Ram Chandra Paswan"	"Amit Kumar"	"Ashok Paswan"	"Ganesh Kumar"	"Lal Bahadur Sada"	"Baleshwar Paswan"	"Vijay Kumar Ram"	"Shatrudhan Kumar Paswan"	"Mithilesh Kumar Rajak"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"149"	"108"	"9"	"85"	"4"	"5"	"8"	"11"	"8"	"5"	"9"	"17"	"418"	"0"	"32"	"450"	"0"
"14"	"1a"	"68"	"113"	"2"	"65"	"2"	"7"	"1"	"2"	"6"	"10"	"4"	"5"	"285"	"0"	"17"	"302"	"0"
"15"	"2"	"261"	"64"	"12"	"238"	"8"	"12"	"16"	"7"	"13"	"8"	"15"	"9"	"663"	"0"	"39"	"702"	"0"
"16"	"3"	"188"	"71"	"7"	"354"	"6"	"4"	"5"	"11"	"17"	"14"	"19"	"10"	"706"	"0"	"18"	"724"	"0"
"17"	"4"	"300"	"96"	"9"	"267"	"13"	"5"	"11"	"10"	"28"	"19"	"21"	"21"	"800"	"0"	"52"	"852"	"0"
"18"	"5"	"31"	"161"	"20"	"281"	"8"	"8"	"7"	"7"	"15"	"14"	"11"	"17"	"580"	"0"	"38"	"618"	"0"
"19"	"6"	"62"	"164"	"8"	"218"	"2"	"7"	"2"	"4"	"8"	"2"	"5"	"9"	"491"	"0"	"18"	"509"	"0"
"20"	"7"	"45"	"128"	"4"	"137"	"1"	"3"	"5"	"5"	"13"	"8"	"11"	"7"	"367"	"0"	"14"	"381"	"0"
"21"	"8"	"100"	"344"	"8"	"107"	"6"	"6"	"8"	"5"	"2"	"11"	"9"	"14"	"620"	"0"	"28"	"648"	"0"
"22"	"9"	"70"	"208"	"11"	"248"	"6"	"7"	"8"	"7"	"25"	"17"	"12"	"7"	"626"	"0"	"20"	"646"	"0"
"23"	"10"	"35"	"232"	"11"	"209"	"11"	"8"	"7"	"6"	"10"	"7"	"5"	"18"	"559"	"0"	"18"	"577"	"0"
"24"	"11"	"85"	"125"	"6"	"257"	"3"	"4"	"7"	"3"	"7"	"8"	"4"	"7"	"516"	"0"	"9"	"525"	"0"
