"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 25-Khagaria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  243639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Hasanpur(140)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Krishna Kumari Yadav"	"Choudhary Mahboob Ali Kaiser"	"Jagdish Chandra Vasu"	"Dinesh Chandra Yadav"	"Rajesh Kumar"	"Ganesh Mukhiya Nishad"	"Tej Bahadur Singh"	"Brahamdeo Mukhia"	"Makkhan Sah"	"Rajeev Ranjan"	"Dr. Swami Vivekanand"	"Umesh Chandra Bharti"	"Satish Prasad Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"68"	"296"	"29"	"183"	"5"	"4"	"3"	"9"	"3"	"13"	"23"	"15"	"7"	"658"	"0"	"13"	"671"	"0"
"14"	"2"	"20"	"148"	"25"	"253"	"10"	"3"	"4"	"7"	"3"	"6"	"17"	"13"	"14"	"523"	"0"	"9"	"532"	"0"
"15"	"3"	"61"	"397"	"24"	"180"	"7"	"4"	"9"	"5"	"4"	"8"	"8"	"24"	"15"	"746"	"0"	"39"	"785"	"0"
"16"	"4"	"372"	"172"	"22"	"167"	"5"	"4"	"7"	"8"	"7"	"12"	"21"	"14"	"16"	"827"	"0"	"85"	"912"	"0"
"17"	"5"	"250"	"232"	"29"	"214"	"10"	"3"	"5"	"4"	"5"	"14"	"29"	"22"	"23"	"840"	"0"	"64"	"904"	"0"
"18"	"6"	"174"	"342"	"38"	"191"	"18"	"13"	"10"	"20"	"9"	"15"	"43"	"40"	"39"	"952"	"0"	"39"	"991"	"0"
"19"	"7"	"174"	"346"	"29"	"207"	"10"	"2"	"6"	"10"	"5"	"10"	"26"	"30"	"40"	"895"	"0"	"55"	"950"	"0"
"20"	"8"	"223"	"61"	"8"	"62"	"3"	"2"	"4"	"0"	"2"	"2"	"10"	"4"	"4"	"385"	"0"	"27"	"412"	"0"
"21"	"9"	"183"	"353"	"27"	"220"	"10"	"3"	"3"	"5"	"3"	"14"	"11"	"16"	"13"	"861"	"0"	"25"	"886"	"0"
"22"	"10"	"242"	"170"	"21"	"99"	"11"	"5"	"8"	"12"	"5"	"5"	"13"	"28"	"29"	"648"	"0"	"57"	"705"	"0"
