"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  248168"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kishanganj(54)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"30"	"171"	"12"	"564"	"10"	"8"	"5"	"7"	"14"	"20"	"841"	"0"	"41"	"882"	"0"
"14"	"2"	"12"	"85"	"9"	"297"	"8"	"3"	"0"	"3"	"1"	"4"	"422"	"0"	"8"	"430"	"0"
"15"	"3"	"15"	"452"	"10"	"166"	"4"	"3"	"0"	"1"	"1"	"4"	"656"	"0"	"8"	"664"	"0"
"16"	"4"	"17"	"471"	"7"	"142"	"1"	"1"	"3"	"3"	"3"	"2"	"650"	"0"	"7"	"657"	"0"
"17"	"5"	"12"	"349"	"5"	"139"	"3"	"2"	"1"	"3"	"2"	"4"	"520"	"0"	"19"	"539"	"0"
"18"	"6"	"18"	"97"	"16"	"723"	"11"	"13"	"3"	"7"	"9"	"5"	"902"	"0"	"8"	"910"	"0"
"19"	"7"	"8"	"460"	"7"	"10"	"1"	"1"	"0"	"1"	"1"	"2"	"491"	"0"	"2"	"493"	"0"
"20"	"8"	"15"	"422"	"13"	"6"	"2"	"3"	"0"	"0"	"2"	"4"	"467"	"0"	"2"	"469"	"0"
"21"	"9"	"61"	"664"	"16"	"71"	"7"	"3"	"3"	"1"	"2"	"9"	"837"	"0"	"30"	"867"	"0"
"22"	"10"	"22"	"911"	"23"	"99"	"6"	"1"	"2"	"3"	"3"	"12"	"1082"	"0"	"25"	"1107"	"0"
"23"	"11"	"12"	"414"	"10"	"201"	"3"	"2"	"4"	"2"	"2"	"2"	"652"	"0"	"8"	"660"	"0"
"24"	"11A"	"20"	"222"	"11"	"215"	"7"	"2"	"3"	"2"	"5"	"6"	"493"	"0"	"3"	"496"	"0"
"25"	"12"	"4"	"141"	"3"	"59"	"2"	"0"	"1"	"0"	"1"	"1"	"212"	"0"	"1"	"213"	"0"
"26"	"13"	"20"	"384"	"8"	"179"	"1"	"0"	"1"	"4"	"1"	"4"	"602"	"0"	"9"	"611"	"0"
