"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 11-Katihar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  275504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Balrampur(65)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Tariq Anwar"	"Nikhil Kumar Choudhary"	"Dr. Ram Prakash Mahto"	"Shivendra Kumar"	"Abdur Rahman"	"Md. Iqbal Ahmad"	"Fulmani Hembram"	"Baleshwar Marandi"	"Bibhaker Jha @ Victor Jha"	"Mahbub Alam"	"Mahammad Hamid Mobarak"	"Mahesh Mandal"	"Satyanaray an Bhagat"	"Suresh Ray"	"Ashok Kumar"	"Ashok Ku Bhagat"	"Kanhai Mandal"	"Md. Tariq Anwar"	"Nalini Mandal"	"Raj Kumar Mandal"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"13"	"1"	"405"	"179"	"7"	"0"	"0"	"1"	"0"	"10"	"0"	"0"	"4"	"1"	"0"	"1"	"1"	"2"	"23"	"8"	"19"	"3"	"3"	"667"	"0"	"7"	"674"	"0"
"14"	"2"	"393"	"19"	"3"	"2"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"0"	"4"	"5"	"1"	"13"	"0"	"10"	"1"	"2"	"461"	"0"	"3"	"464"	"0"
"15"	"3"	"284"	"287"	"10"	"4"	"0"	"0"	"2"	"1"	"1"	"5"	"14"	"5"	"1"	"3"	"17"	"17"	"12"	"0"	"2"	"1"	"1"	"667"	"0"	"1"	"668"	"0"
"16"	"4"	"517"	"94"	"4"	"2"	"1"	"0"	"2"	"2"	"0"	"1"	"5"	"2"	"2"	"3"	"11"	"33"	"15"	"3"	"10"	"2"	"0"	"709"	"0"	"3"	"712"	"0"
