"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  261743"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jamui(241)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"216"	"169"	"6"	"42"	"2"	"1"	"5"	"4"	"3"	"5"	"14"	"467"	"0"	"23"	"490"	"0"
"14"	"2"	"166"	"259"	"8"	"195"	"16"	"2"	"3"	"6"	"6"	"4"	"1"	"666"	"0"	"2"	"668"	"0"
"15"	"3"	"66"	"330"	"5"	"72"	"4"	"3"	"3"	"4"	"3"	"3"	"3"	"496"	"0"	"6"	"502"	"0"
"16"	"4"	"49"	"344"	"7"	"39"	"0"	"1"	"3"	"0"	"2"	"1"	"4"	"450"	"0"	"4"	"454"	"0"
"17"	"5"	"49"	"156"	"3"	"78"	"5"	"2"	"2"	"6"	"3"	"3"	"12"	"319"	"0"	"5"	"324"	"0"
"18"	"6"	"67"	"132"	"4"	"34"	"1"	"2"	"3"	"3"	"0"	"3"	"6"	"255"	"0"	"14"	"269"	"0"
"19"	"7"	"269"	"156"	"4"	"29"	"3"	"2"	"9"	"7"	"4"	"4"	"10"	"497"	"0"	"19"	"516"	"0"
"20"	"8"	"60"	"50"	"3"	"3"	"0"	"2"	"2"	"2"	"3"	"11"	"1"	"137"	"0"	"1"	"138"	"0"
"21"	"9"	"189"	"187"	"6"	"32"	"2"	"2"	"1"	"4"	"0"	"4"	"3"	"430"	"0"	"4"	"434"	"0"
"22"	"10"	"50"	"167"	"9"	"125"	"4"	"6"	"6"	"11"	"21"	"12"	"9"	"420"	"0"	"24"	"444"	"0"
"23"	"11"	"100"	"278"	"13"	"140"	"13"	"3"	"2"	"4"	"1"	"3"	"5"	"562"	"0"	"5"	"567"	"0"
"24"	"12"	"308"	"148"	"8"	"40"	"3"	"2"	"4"	"3"	"4"	"6"	"8"	"534"	"0"	"18"	"552"	"0"
"25"	"13"	"192"	"83"	"6"	"97"	"3"	"0"	"3"	"2"	"3"	"3"	"3"	"395"	"0"	"9"	"404"	"0"
