"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  252753"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chakai(243)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"5"	"114"	"7"	"25"	"2"	"0"	"0"	"7"	"5"	"1"	"11"	"177"	"0"	"16"	"193"	"0"
"14"	"2"	"13"	"209"	"9"	"80"	"8"	"1"	"2"	"5"	"3"	"6"	"8"	"344"	"0"	"13"	"357"	"0"
"15"	"3"	"9"	"39"	"2"	"179"	"2"	"1"	"1"	"0"	"4"	"2"	"0"	"239"	"0"	"2"	"241"	"0"
"16"	"4"	"31"	"243"	"10"	"116"	"16"	"16"	"5"	"11"	"5"	"6"	"4"	"463"	"0"	"13"	"476"	"0"
"17"	"5"	"22"	"59"	"13"	"318"	"17"	"5"	"5"	"4"	"7"	"7"	"9"	"466"	"0"	"27"	"493"	"0"
"18"	"6"	"25"	"73"	"10"	"95"	"18"	"8"	"4"	"10"	"11"	"6"	"5"	"265"	"0"	"17"	"282"	"0"
"19"	"7"	"38"	"70"	"3"	"177"	"7"	"26"	"8"	"10"	"10"	"3"	"6"	"358"	"0"	"8"	"366"	"0"
"20"	"8"	"115"	"390"	"31"	"73"	"10"	"6"	"7"	"8"	"13"	"9"	"14"	"676"	"0"	"30"	"706"	"0"
"21"	"9"	"91"	"148"	"11"	"144"	"11"	"2"	"6"	"7"	"9"	"4"	"15"	"448"	"0"	"18"	"466"	"0"
"22"	"10"	"12"	"265"	"4"	"10"	"0"	"4"	"0"	"0"	"0"	"6"	"0"	"301"	"0"	"1"	"302"	"0"
"23"	"11"	"5"	"22"	"10"	"376"	"5"	"2"	"2"	"2"	"4"	"0"	"3"	"431"	"0"	"4"	"435"	"0"
"24"	"12"	"19"	"38"	"8"	"372"	"15"	"3"	"3"	"4"	"17"	"9"	"5"	"493"	"0"	"35"	"528"	"0"
"25"	"13"	"8"	"54"	"5"	"457"	"9"	"1"	"5"	"2"	"8"	"2"	"0"	"551"	"0"	"5"	"556"	"0"
