"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 8-Supaul PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  255446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Nirmali(41)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Aman Kumar Samajsevi"	"Kameshwar Chaupal"	"Dileshwar Kamait"	"Ranjeet Ranjan"	"Jay Narayan Yadav"	"Dev Narayan Yadav"	"Parmeshwar Jha"	"Mohammad Amanullah"	"Shakaldev Mandal"	"Suresh Kumar Azad"	"Binod Kumar Sahu"	"Ramdev Sharma"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"7"	"257"	"211"	"95"	"4"	"0"	"1"	"2"	"3"	"5"	"2"	"4"	"591"	"0"	"25"	"616"	"0"
"14"	"2"	"10"	"84"	"332"	"26"	"8"	"2"	"3"	"3"	"2"	"12"	"4"	"5"	"491"	"0"	"15"	"506"	"0"
"15"	"3"	"11"	"443"	"74"	"97"	"2"	"1"	"2"	"1"	"2"	"6"	"2"	"9"	"650"	"0"	"14"	"664"	"0"
"16"	"4"	"7"	"49"	"52"	"340"	"5"	"2"	"4"	"12"	"4"	"5"	"4"	"7"	"491"	"0"	"19"	"510"	"0"
"17"	"5"	"4"	"248"	"91"	"180"	"5"	"0"	"1"	"0"	"5"	"2"	"1"	"5"	"542"	"0"	"4"	"546"	"0"
"18"	"6"	"5"	"143"	"410"	"22"	"2"	"0"	"5"	"3"	"3"	"14"	"5"	"3"	"615"	"0"	"24"	"639"	"0"
"19"	"7"	"10"	"164"	"218"	"21"	"5"	"1"	"3"	"5"	"1"	"11"	"2"	"5"	"446"	"0"	"19"	"465"	"0"
"20"	"8"	"9"	"317"	"276"	"68"	"2"	"2"	"9"	"1"	"3"	"12"	"4"	"5"	"708"	"0"	"18"	"726"	"0"
"21"	"9"	"34"	"249"	"187"	"187"	"7"	"1"	"12"	"10"	"5"	"18"	"5"	"8"	"723"	"0"	"6"	"729"	"0"
"22"	"10"	"16"	"620"	"144"	"35"	"1"	"2"	"3"	"1"	"0"	"2"	"2"	"0"	"826"	"0"	"9"	"835"	"0"
"23"	"11"	"16"	"333"	"151"	"79"	"5"	"5"	"3"	"1"	"2"	"15"	"5"	"10"	"625"	"0"	"19"	"644"	"0"
"24"	"12"	"12"	"57"	"167"	"465"	"17"	"4"	"5"	"1"	"7"	"13"	"6"	"8"	"762"	"0"	"17"	"779"	"0"
