"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 25-Khagaria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  266995"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Beldaur(150)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Krishna Kumari Yadav"	"Choudhary Mahboob Ali Kaiser"	"Jagdish Chandra Vasu"	"Dinesh Chandra Yadav"	"Rajesh Kumar"	"Ganesh Mukhiya Nishad"	"Tej Bahadur Singh"	"Brahamdeo Mukhia"	"Makkhan Sah"	"Rajeev Ranjan"	"Dr. Swami Vivekanand"	"Umesh Chandra Bharti"	"Satish Prasad Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"81"	"362"	"8"	"22"	"0"	"5"	"0"	"2"	"1"	"1"	"5"	"13"	"3"	"503"	"0"	"5"	"508"	"0"
"14"	"1K"	"31"	"354"	"5"	"19"	"1"	"15"	"3"	"10"	"2"	"3"	"5"	"17"	"8"	"473"	"0"	"4"	"477"	"0"
"15"	"2"	"23"	"123"	"5"	"106"	"1"	"83"	"8"	"5"	"5"	"5"	"5"	"11"	"13"	"393"	"0"	"15"	"408"	"0"
"16"	"3"	"133"	"621"	"15"	"62"	"6"	"6"	"1"	"13"	"3"	"5"	"7"	"15"	"19"	"906"	"0"	"9"	"915"	"0"
"17"	"4"	"86"	"27"	"45"	"193"	"4"	"2"	"6"	"8"	"2"	"5"	"10"	"11"	"17"	"416"	"0"	"35"	"451"	"0"
"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"7"	"171"	"104"	"21"	"137"	"3"	"1"	"5"	"5"	"6"	"4"	"6"	"8"	"5"	"476"	"0"	"14"	"490"	"0"
"21"	"8"	"99"	"480"	"7"	"38"	"1"	"1"	"1"	"4"	"0"	"2"	"10"	"8"	"12"	"663"	"0"	"4"	"667"	"0"
"22"	"9"	"430"	"148"	"13"	"118"	"3"	"2"	"4"	"1"	"2"	"2"	"9"	"14"	"2"	"748"	"0"	"25"	"773"	"0"
