"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  245710"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sandesh(192)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"31"	"1"	"31"	"418"	"7"	"7"	"3"	"2"	"1"	"3"	"1"	"3"	"508"	"0"	"18"	"526"	"0"
"14"	"2"	"29"	"2"	"126"	"50"	"1"	"6"	"148"	"5"	"1"	"2"	"2"	"5"	"377"	"0"	"4"	"381"	"0"
"15"	"3"	"27"	"1"	"430"	"43"	"3"	"8"	"39"	"3"	"3"	"2"	"2"	"5"	"566"	"0"	"13"	"579"	"0"
"16"	"4"	"17"	"3"	"277"	"137"	"8"	"4"	"131"	"1"	"0"	"3"	"1"	"1"	"583"	"0"	"10"	"593"	"0"
"17"	"4A"	"10"	"0"	"42"	"11"	"1"	"14"	"341"	"6"	"1"	"0"	"1"	"1"	"428"	"0"	"7"	"435"	"0"
"18"	"5"	"25"	"2"	"483"	"26"	"1"	"0"	"48"	"1"	"6"	"1"	"4"	"2"	"599"	"0"	"3"	"602"	"0"
"19"	"6"	"12"	"2"	"184"	"19"	"1"	"1"	"15"	"1"	"1"	"0"	"2"	"0"	"238"	"0"	"3"	"241"	"0"
"20"	"7"	"74"	"5"	"411"	"162"	"6"	"5"	"16"	"1"	"7"	"4"	"6"	"3"	"700"	"0"	"19"	"719"	"0"
"21"	"8"	"18"	"2"	"252"	"23"	"2"	"0"	"16"	"0"	"0"	"4"	"2"	"6"	"325"	"0"	"4"	"329"	"0"
"22"	"9"	"64"	"3"	"228"	"158"	"4"	"10"	"148"	"7"	"5"	"7"	"5"	"3"	"642"	"0"	"30"	"672"	"0"
"23"	"10"	"5"	"5"	"488"	"247"	"7"	"1"	"1"	"0"	"3"	"4"	"6"	"4"	"771"	"0"	"15"	"786"	"0"
