"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 18-Siwan PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  250790"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Raghunathpur(108)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Om Prakash Yadav"	"Ganesh Ram"	"Manoj Kumar Singh"	"Hena Shahab"	"Amar Nath Yadav"	"Khalil Miya"	"Nagendra Tiwari"	"Narad Pndit"	"Paramanand Gond"	"Parmeshwar Manjhi"	"Ranjan Kumar"	"Ram Binay Ray"	"Satya Prakash Pandey"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"639"	"18"	"8"	"145"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"6"	"6"	"829"	"0"	"13"	"842"	"0"
"14"	"2"	"514"	"7"	"20"	"89"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"638"	"0"	"6"	"644"	"0"
"15"	"3"	"2"	"0"	"0"	"688"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"692"	"0"	"2"	"694"	"0"
"16"	"3A"	"17"	"0"	"0"	"492"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"515"	"0"	"0"	"515"	"0"
"17"	"4"	"301"	"7"	"54"	"137"	"22"	"3"	"0"	"0"	"1"	"5"	"4"	"13"	"3"	"550"	"0"	"12"	"562"	"0"
"18"	"5"	"207"	"53"	"95"	"119"	"4"	"3"	"1"	"1"	"4"	"2"	"8"	"9"	"10"	"516"	"0"	"10"	"526"	"0"
"19"	"6"	"377"	"18"	"102"	"137"	"10"	"4"	"0"	"4"	"5"	"8"	"11"	"15"	"16"	"707"	"0"	"39"	"746"	"0"
"20"	"7"	"288"	"39"	"29"	"188"	"8"	"3"	"2"	"5"	"10"	"4"	"6"	"7"	"5"	"594"	"0"	"15"	"609"	"0"
"21"	"8"	"225"	"13"	"37"	"137"	"6"	"4"	"3"	"2"	"1"	"5"	"6"	"9"	"4"	"452"	"0"	"5"	"457"	"0"
"22"	"9"	"219"	"33"	"52"	"460"	"9"	"0"	"2"	"3"	"2"	"5"	"7"	"9"	"14"	"815"	"0"	"34"	"849"	"0"
"23"	"10"	"344"	"16"	"38"	"189"	"75"	"6"	"1"	"4"	"2"	"5"	"13"	"17"	"11"	"721"	"0"	"36"	"757"	"0"
