"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  274470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Tarapur(164)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"366"	"70"	"3"	"20"	"4"	"2"	"2"	"2"	"0"	"2"	"4"	"475"	"0"	"5"	"480"	"0"
"14"	"2"	"150"	"64"	"2"	"5"	"1"	"0"	"3"	"2"	"3"	"3"	"4"	"237"	"0"	"4"	"241"	"0"
"15"	"3"	"361"	"208"	"5"	"255"	"8"	"3"	"2"	"4"	"5"	"5"	"4"	"860"	"0"	"4"	"864"	"0"
"16"	"4"	"468"	"121"	"3"	"22"	"2"	"2"	"3"	"1"	"0"	"7"	"4"	"633"	"0"	"10"	"643"	"0"
"17"	"5"	"111"	"220"	"7"	"7"	"4"	"4"	"2"	"5"	"5"	"9"	"19"	"393"	"0"	"26"	"419"	"0"
"18"	"6"	"0"	"18"	"1"	"668"	"6"	"0"	"0"	"1"	"2"	"0"	"1"	"697"	"0"	"1"	"698"	"0"
"19"	"7"	"119"	"213"	"6"	"21"	"4"	"3"	"1"	"1"	"3"	"8"	"5"	"384"	"0"	"9"	"393"	"0"
"20"	"8"	"80"	"62"	"3"	"200"	"5"	"3"	"1"	"3"	"7"	"3"	"5"	"372"	"0"	"4"	"376"	"0"
"21"	"9"	"104"	"111"	"7"	"175"	"5"	"3"	"4"	"7"	"4"	"4"	"3"	"427"	"0"	"7"	"434"	"0"
"22"	"10"	"14"	"167"	"7"	"64"	"7"	"0"	"0"	"1"	"0"	"4"	"2"	"266"	"0"	"7"	"273"	"0"
"23"	"11"	"61"	"269"	"3"	"24"	"4"	"0"	"3"	"1"	"4"	"6"	"8"	"383"	"0"	"10"	"393"	"0"
"24"	"12"	"82"	"15"	"3"	"190"	"6"	"2"	"1"	"4"	"1"	"6"	"2"	"312"	"0"	"9"	"321"	"0"
"25"	"13"	"13"	"7"	"2"	"606"	"3"	"2"	"2"	"1"	"1"	"1"	"2"	"640"	"0"	"2"	"642"	"0"
