"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19-Maharajganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  281457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Goriakothi(111)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"JANARDAN SINGH “SIGRIWAL”"	"NAGENDRA PRASAD"	"PRABHU NATH SINGH"	"MANORANJAN SINGH"	"BYAS MANJHI"	"RINA RANI"	"UMASHANKAR TIWARI"	"DR. GOPAL PRASAD"	"BRINDA PATHAK"	"SHIV NATH MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"124"	"9"	"211"	"32"	"1"	"0"	"7"	"4"	"10"	"5"	"403"	"0"	"7"	"410"	"0"
"14"	"2"	"137"	"10"	"225"	"28"	"1"	"4"	"4"	"2"	"8"	"4"	"423"	"0"	"4"	"427"	"0"
"15"	"3"	"320"	"6"	"189"	"17"	"2"	"3"	"9"	"3"	"8"	"5"	"562"	"0"	"15"	"577"	"0"
"16"	"4"	"318"	"5"	"98"	"77"	"0"	"3"	"11"	"9"	"11"	"4"	"536"	"0"	"13"	"549"	"0"
"17"	"5"	"522"	"10"	"183"	"22"	"0"	"4"	"12"	"6"	"6"	"8"	"773"	"0"	"23"	"796"	"0"
"18"	"6"	"323"	"7"	"110"	"27"	"1"	"0"	"8"	"1"	"5"	"5"	"487"	"0"	"12"	"499"	"0"
"19"	"7"	"299"	"8"	"107"	"39"	"4"	"1"	"6"	"7"	"10"	"8"	"489"	"0"	"35"	"524"	"0"
"20"	"8"	"203"	"4"	"205"	"62"	"2"	"4"	"4"	"6"	"8"	"2"	"500"	"0"	"4"	"504"	"0"
"21"	"9"	"310"	"13"	"174"	"26"	"1"	"1"	"15"	"1"	"7"	"7"	"555"	"0"	"6"	"561"	"0"
"22"	"10"	"340"	"12"	"286"	"55"	"3"	"4"	"12"	"5"	"6"	"6"	"729"	"0"	"11"	"740"	"0"
"23"	"11"	"286"	"3"	"201"	"20"	"1"	"0"	"2"	"0"	"7"	"2"	"522"	"0"	"2"	"524"	"0"
"24"	"12"	"440"	"8"	"187"	"22"	"1"	"3"	"15"	"1"	"12"	"2"	"691"	"0"	"21"	"712"	"0"
"25"	"13"	"479"	"9"	"232"	"34"	"2"	"0"	"12"	"5"	"6"	"2"	"781"	"0"	"13"	"794"	"0"
"26"	"14"	"440"	"12"	"153"	"29"	"1"	"4"	"9"	"3"	"4"	"5"	"660"	"0"	"10"	"670"	"0"
