"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 5-Sitamarhi PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  243065"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Runnisaidpur(29)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Arjun Rai"	"Mahesh Kumar"	"Sitaram Yadav"	"Kishori Das"	"Jay Kumar Chaudhary"	"Bharat Bhushan Sahni"	"Mahendra Prasad"	"Rajeev Ranjan"	"Ram Kumar Sharma"	"Satyendra Bhandari"	"Surendra Kumar"	"Syed Abu Dojana"	"Ajay Kumar"	"Chandrika Prasad"	"Narendra Mishra"	"Mahesh Nandan Singh"	"Mohammad Faiyaz Ahmad"	"Vinod Sah"	"Sone Lal Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"20"	"5"	"43"	"2"	"2"	"0"	"2"	"23"	"503"	"11"	"4"	"3"	"6"	"2"	"3"	"21"	"5"	"4"	"5"	"664"	"0"	"1"	"665"	"0"
"14"	"2"	"27"	"5"	"207"	"34"	"4"	"1"	"6"	"7"	"223"	"6"	"11"	"7"	"7"	"7"	"9"	"35"	"2"	"0"	"6"	"604"	"0"	"2"	"606"	"0"
"15"	"3"	"19"	"8"	"115"	"7"	"5"	"1"	"3"	"6"	"263"	"5"	"6"	"9"	"7"	"9"	"9"	"20"	"3"	"1"	"3"	"499"	"0"	"6"	"505"	"0"
"16"	"4"	"26"	"2"	"88"	"9"	"4"	"3"	"0"	"10"	"320"	"7"	"7"	"2"	"3"	"2"	"3"	"5"	"7"	"6"	"5"	"509"	"0"	"4"	"513"	"0"
"17"	"5"	"36"	"1"	"43"	"7"	"2"	"1"	"1"	"12"	"219"	"3"	"2"	"2"	"5"	"0"	"1"	"7"	"2"	"4"	"1"	"349"	"0"	"2"	"351"	"0"
"18"	"6"	"21"	"2"	"43"	"5"	"1"	"0"	"4"	"7"	"294"	"3"	"2"	"2"	"2"	"2"	"0"	"6"	"5"	"0"	"3"	"402"	"0"	"6"	"408"	"0"
