"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  266891"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Darbhanga(83)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"363"	"32"	"3"	"19"	"72"	"6"	"1"	"2"	"2"	"1"	"1"	"12"	"2"	"6"	"8"	"530"	"0"	"17"	"547"	"0"
"14"	"2"	"43"	"214"	"10"	"18"	"176"	"29"	"2"	"6"	"4"	"1"	"6"	"20"	"8"	"11"	"11"	"559"	"0"	"25"	"584"	"0"
"15"	"3"	"154"	"160"	"4"	"4"	"107"	"14"	"3"	"4"	"5"	"3"	"11"	"8"	"4"	"5"	"14"	"500"	"0"	"18"	"518"	"0"
"16"	"4"	"288"	"357"	"11"	"14"	"47"	"7"	"1"	"6"	"2"	"3"	"20"	"9"	"3"	"5"	"19"	"792"	"0"	"12"	"804"	"0"
"17"	"5"	"110"	"252"	"8"	"18"	"108"	"12"	"1"	"2"	"1"	"2"	"4"	"5"	"3"	"0"	"10"	"536"	"0"	"12"	"548"	"0"
"18"	"6"	"90"	"256"	"5"	"16"	"57"	"12"	"0"	"4"	"3"	"4"	"4"	"4"	"5"	"5"	"14"	"479"	"0"	"18"	"497"	"0"
"19"	"7"	"104"	"249"	"8"	"8"	"7"	"6"	"1"	"3"	"0"	"1"	"24"	"0"	"1"	"3"	"9"	"424"	"0"	"6"	"430"	"0"
"20"	"8"	"283"	"271"	"8"	"15"	"5"	"2"	"3"	"3"	"1"	"1"	"1"	"3"	"5"	"8"	"25"	"634"	"0"	"34"	"668"	"0"
