"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  265194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Tarari(196)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"11"	"5"	"339"	"273"	"3"	"3"	"2"	"3"	"1"	"15"	"8"	"6"	"669"	"0"	"15"	"684"	"0"
"14"	"2"	"19"	"5"	"328"	"176"	"1"	"2"	"3"	"1"	"0"	"3"	"1"	"3"	"542"	"0"	"4"	"546"	"0"
"15"	"3"	"13"	"2"	"519"	"95"	"2"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"636"	"0"	"2"	"638"	"0"
"16"	"4"	"25"	"6"	"352"	"107"	"3"	"2"	"2"	"2"	"0"	"0"	"5"	"1"	"505"	"0"	"8"	"513"	"0"
"17"	"5"	"45"	"1"	"459"	"138"	"4"	"2"	"5"	"3"	"2"	"4"	"7"	"2"	"672"	"0"	"5"	"677"	"0"
"18"	"6"	"40"	"0"	"6"	"500"	"3"	"0"	"5"	"1"	"3"	"3"	"2"	"6"	"569"	"0"	"4"	"573"	"0"
"19"	"7"	"17"	"4"	"584"	"78"	"1"	"0"	"1"	"1"	"6"	"0"	"4"	"3"	"699"	"0"	"7"	"706"	"0"
"20"	"8"	"10"	"2"	"400"	"70"	"2"	"0"	"4"	"1"	"3"	"2"	"2"	"1"	"497"	"0"	"5"	"502"	"0"
"21"	"9"	"81"	"3"	"38"	"527"	"5"	"4"	"6"	"4"	"6"	"2"	"1"	"3"	"680"	"0"	"8"	"688"	"0"
"22"	"10"	"41"	"1"	"20"	"740"	"3"	"2"	"6"	"1"	"3"	"7"	"3"	"4"	"831"	"0"	"7"	"838"	"0"
"23"	"11"	"34"	"3"	"541"	"40"	"0"	"1"	"6"	"0"	"3"	"1"	"1"	"1"	"631"	"0"	"1"	"632"	"0"
