"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 7-Jhanjharpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  264090"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Khajauli(33)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Devendra Prasad Yadav"	"Mangani Lal Mandal"	"Manilal Sahu"	"Birendra Kumar Chaudhary"	"Md.Akhtar Ali"	"Tiliya Devi"	"Md. Faiyaz Khan"	"Vighnesh Bhagat"	"Bipin Kumar Jha"	"Haidar"	"Awdhesh Kumar Shingh"	"Ibrahim Abbasi"	"Chandra Mohan Jha"	"Chhedi Ram"	"Janak Roy"	"Pawan Kumar"	"Barun Kumar Jha"	"Ram Chandra Safi"	"Dr. Binay Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"16"	"431"	"20"	"398"	"13"	"3"	"6"	"5"	"18"	"23"	"9"	"11"	"21"	"27"	"23"	"33"	"2"	"1"	"1"	"1061"	"0"	"6"	"1067"	"0"
"14"	"2"	"34"	"278"	"15"	"309"	"9"	"5"	"1"	"0"	"8"	"9"	"3"	"3"	"10"	"6"	"16"	"17"	"7"	"12"	"6"	"748"	"0"	"17"	"765"	"0"
"15"	"3"	"28"	"76"	"5"	"366"	"4"	"3"	"3"	"1"	"4"	"1"	"0"	"2"	"4"	"1"	"0"	"3"	"10"	"13"	"4"	"528"	"0"	"6"	"534"	"0"
"16"	"4"	"153"	"355"	"14"	"253"	"8"	"8"	"5"	"3"	"4"	"5"	"3"	"5"	"8"	"9"	"11"	"14"	"11"	"8"	"2"	"879"	"0"	"3"	"882"	"0"
"17"	"5"	"110"	"220"	"12"	"289"	"8"	"9"	"2"	"2"	"4"	"7"	"1"	"1"	"4"	"2"	"0"	"5"	"6"	"3"	"1"	"686"	"0"	"1"	"687"	"0"
